Time(s),Voltage(V),Current(A)
0.000000e+00,5.299000e-203,-1.060000e-204
2.000000e-12,1.607000e+01,7.852000e-02
4.000000e-12,3.447000e+01,1.106000e-01
6.546000e-12,5.607000e+01,1.879000e-01
8.075000e-12,5.900000e+01,4.351000e-01
9.701000e-12,5.870000e+01,7.661000e-01
1.176000e-11,6.066000e+01,1.139000e+00
1.420000e-11,6.148000e+01,1.609000e+00
1.585000e-11,6.243000e+01,1.921000e+00
1.754000e-11,6.323000e+01,2.243000e+00
1.935000e-11,6.452000e+01,2.580000e+00
2.082000e-11,6.516000e+01,2.860000e+00
2.311000e-11,6.656000e+01,3.291000e+00
2.547000e-11,6.781000e+01,3.737000e+00
2.798000e-11,6.927000e+01,4.210000e+00
3.477000e-11,7.304000e+01,5.494000e+00
4.428000e-11,7.839000e+01,7.288000e+00
5.000000e-11,8.156000e+01,8.369000e+00
5.172000e-11,7.996000e+01,8.401000e+00
5.332000e-11,7.968000e+01,8.406000e+00
5.813000e-11,7.985000e+01,8.403000e+00
6.756000e-11,7.962000e+01,8.408000e+00
8.786000e-11,7.966000e+01,8.407000e+00
1.392000e-10,7.900000e+01,8.420000e+00
2.538000e-10,7.647000e+01,8.471000e+00
4.538000e-10,6.137000e+01,8.773000e+00
6.538000e-10,2.967000e+01,9.407000e+00
8.538000e-10,1.960000e+01,9.608000e+00
9.736000e-10,1.794000e+01,9.641000e+00
1.115000e-09,1.672000e+01,9.666000e+00
1.290000e-09,1.644000e+01,9.671000e+00
1.490000e-09,1.610000e+01,9.678000e+00
1.690000e-09,1.632000e+01,9.674000e+00
1.890000e-09,1.610000e+01,9.678000e+00
2.090000e-09,1.632000e+01,9.674000e+00
2.290000e-09,1.610000e+01,9.678000e+00
2.490000e-09,1.632000e+01,9.674000e+00
2.690000e-09,1.610000e+01,9.678000e+00
2.890000e-09,1.632000e+01,9.674000e+00
3.090000e-09,1.611000e+01,9.678000e+00
3.290000e-09,1.631000e+01,9.674000e+00
3.490000e-09,1.611000e+01,9.678000e+00
3.690000e-09,1.631000e+01,9.674000e+00
3.890000e-09,1.611000e+01,9.678000e+00
4.090000e-09,1.631000e+01,9.674000e+00
4.290000e-09,1.611000e+01,9.678000e+00
4.490000e-09,1.631000e+01,9.674000e+00
4.690000e-09,1.611000e+01,9.678000e+00
4.890000e-09,1.631000e+01,9.674000e+00
5.050000e-09,1.611000e+01,9.678000e+00
5.052000e-09,1.426000e+01,9.215000e+00
5.060000e-09,1.369000e+01,7.726000e+00
5.082000e-09,1.302000e+01,3.240000e+00
5.100000e-09,6.628000e-01,-1.326000e-02
5.100000e-09,1.260000e+00,-2.521000e-02
5.100000e-09,1.677000e+00,-3.353000e-02
5.101000e-09,1.157000e+00,-2.314000e-02
5.101000e-09,4.636000e-01,-9.272000e-03
5.101000e-09,1.961000e-01,-3.922000e-03
5.101000e-09,3.973000e-02,-7.945000e-04
5.102000e-09,-1.012000e-02,2.024000e-04
5.102000e-09,-3.434000e-02,6.869000e-04
5.102000e-09,-4.192000e-02,8.383000e-04
5.102000e-09,-4.075000e-02,8.150000e-04
5.102000e-09,-3.339000e-02,6.678000e-04
5.102000e-09,-2.294000e-02,4.588000e-04
5.102000e-09,-1.294000e-02,2.589000e-04
5.103000e-09,-5.267000e-03,1.053000e-04
5.103000e-09,-1.219000e-03,2.437000e-05
5.103000e-09,-8.940000e-06,1.788000e-07
5.103000e-09,6.652000e-04,-1.330000e-05
5.103000e-09,8.665000e-04,-1.733000e-05
5.103000e-09,8.804000e-04,-1.761000e-05
5.104000e-09,7.485000e-04,-1.497000e-05
5.104000e-09,5.339000e-04,-1.068000e-05
5.104000e-09,3.166000e-04,-6.332000e-06
5.104000e-09,1.410000e-04,-2.821000e-06
5.104000e-09,2.985000e-05,-5.970000e-07
5.105000e-09,2.604000e-06,-5.208000e-08
