Time(s),Vout(V)
0.000000e+00,-1.158000e-190
1.000000e-11,6.911000e+00
2.000000e-11,1.408000e+01
3.777000e-11,3.379000e+01
5.206000e-11,5.502000e+01
6.168000e-11,6.177000e+01
7.388000e-11,6.138000e+01
8.784000e-11,6.314000e+01
1.025000e-10,6.452000e+01
1.234000e-10,6.636000e+01
1.518000e-10,6.922000e+01
1.935000e-10,7.298000e+01
2.601000e-10,7.945000e+01
3.000000e-10,8.294000e+01
3.035000e-10,8.108000e+01
3.076000e-10,8.006000e+01
3.197000e-10,8.010000e+01
3.298000e-10,8.002000e+01
3.457000e-10,7.993000e+01
3.738000e-10,7.958000e+01
4.148000e-10,7.798000e+01
4.885000e-10,6.253000e+01
5.660000e-10,2.499000e+01
6.091000e-10,1.805000e+01
6.449000e-10,1.787000e+01
6.877000e-10,1.604000e+01
7.311000e-10,1.664000e+01
7.994000e-10,1.586000e+01
8.663000e-10,1.652000e+01
9.646000e-10,1.592000e+01
1.077000e-09,1.648000e+01
1.216000e-09,1.596000e+01
1.406000e-09,1.645000e+01
1.670000e-09,1.598000e+01
2.075000e-09,1.644000e+01
2.758000e-09,1.598000e+01
3.758000e-09,1.643000e+01
4.758000e-09,1.599000e+01
5.300000e-09,1.643000e+01
5.315000e-09,1.322000e+01
5.351000e-09,1.223000e+01
5.459000e-09,1.213000e+01
5.548000e-09,1.092000e+01
5.600000e-09,5.183000e+00
5.601000e-09,6.050000e+00
5.603000e-09,6.675000e+00
5.608000e-09,6.092000e+00
5.613000e-09,4.583000e+00
5.616000e-09,3.742000e+00
5.621000e-09,2.880000e+00
5.630000e-09,1.735000e+00
5.642000e-09,8.995000e-01
5.654000e-09,4.673000e-01
5.665000e-09,2.560000e-01
5.675000e-09,1.445000e-01
5.685000e-09,8.142000e-02
5.696000e-09,4.542000e-02
5.706000e-09,2.522000e-02
5.717000e-09,1.402000e-02
5.728000e-09,7.828000e-03
5.738000e-09,4.379000e-03
5.749000e-09,2.446000e-03
5.759000e-09,1.362000e-03
5.770000e-09,7.548000e-04
5.781000e-09,4.190000e-04
5.792000e-09,2.329000e-04
5.802000e-09,1.295000e-04
5.813000e-09,7.203000e-05
5.824000e-09,4.004000e-05
5.834000e-09,2.226000e-05
5.845000e-09,1.237000e-05
5.856000e-09,6.876000e-06
5.866000e-09,3.822000e-06
5.877000e-09,2.125000e-06
5.888000e-09,1.181000e-06
5.898000e-09,6.566000e-07
5.909000e-09,3.650000e-07
5.919000e-09,2.029000e-07
5.930000e-09,1.128000e-07
5.941000e-09,6.269000e-08
5.951000e-09,3.485000e-08
5.962000e-09,1.937000e-08
5.973000e-09,1.077000e-08
5.985000e-09,5.572000e-09
5.999000e-09,2.459000e-09
6.017000e-09,8.564000e-10
6.040000e-09,2.020000e-10
6.072000e-09,1.733000e-11
6.126000e-09,-3.147000e-12
6.240000e-09,1.602000e-12
6.585000e-09,-1.288000e-12
7.585000e-09,1.195000e-12
8.585000e-09,-1.109000e-12
9.585000e-09,1.029000e-12
1.000000e-08,-8.594000e-13
