Time(s),Voltage(V),Current(A)
0.000000e+00,5.713000e-210,-1.143000e-211
2.000000e-12,8.045000e+00,3.911000e-02
4.000000e-12,1.724000e+01,5.519000e-02
6.551000e-12,3.036000e+01,4.797000e-02
9.445000e-12,4.467000e+01,5.107000e-02
1.108000e-11,5.283000e+01,5.089000e-02
1.294000e-11,5.674000e+01,1.595000e-01
1.436000e-11,5.666000e+01,3.030000e-01
1.679000e-11,5.767000e+01,5.254000e-01
1.887000e-11,5.805000e+01,7.264000e-01
2.274000e-11,5.931000e+01,1.088000e+00
2.932000e-11,6.106000e+01,1.711000e+00
4.078000e-11,6.443000e+01,2.790000e+00
6.143000e-11,7.018000e+01,4.740000e+00
1.000000e-10,8.122000e+01,8.376000e+00
1.071000e-10,8.031000e+01,8.394000e+00
1.125000e-10,8.026000e+01,8.395000e+00
1.287000e-10,8.030000e+01,8.394000e+00
1.483000e-10,8.026000e+01,8.395000e+00
1.772000e-10,8.025000e+01,8.395000e+00
1.944000e-10,7.310000e+01,8.538000e+00
2.153000e-10,6.720000e+01,8.656000e+00
2.339000e-10,6.420000e+01,8.716000e+00
2.525000e-10,6.019000e+01,8.796000e+00
2.882000e-10,4.725000e+01,9.055000e+00
3.372000e-10,2.992000e+01,9.402000e+00
3.793000e-10,2.313000e+01,9.537000e+00
4.252000e-10,1.938000e+01,9.612000e+00
4.767000e-10,1.761000e+01,9.648000e+00
5.395000e-10,1.654000e+01,9.669000e+00
6.193000e-10,1.628000e+01,9.674000e+00
7.337000e-10,1.616000e+01,9.677000e+00
9.058000e-10,1.626000e+01,9.675000e+00
1.106000e-09,1.616000e+01,9.677000e+00
1.306000e-09,1.626000e+01,9.675000e+00
1.506000e-09,1.616000e+01,9.677000e+00
1.706000e-09,1.626000e+01,9.675000e+00
1.906000e-09,1.616000e+01,9.677000e+00
2.106000e-09,1.626000e+01,9.675000e+00
2.306000e-09,1.616000e+01,9.677000e+00
2.506000e-09,1.626000e+01,9.675000e+00
2.706000e-09,1.616000e+01,9.677000e+00
2.906000e-09,1.626000e+01,9.675000e+00
3.106000e-09,1.616000e+01,9.677000e+00
3.306000e-09,1.626000e+01,9.675000e+00
3.506000e-09,1.616000e+01,9.677000e+00
3.706000e-09,1.626000e+01,9.675000e+00
3.906000e-09,1.616000e+01,9.677000e+00
4.106000e-09,1.626000e+01,9.675000e+00
4.306000e-09,1.616000e+01,9.677000e+00
4.506000e-09,1.626000e+01,9.675000e+00
4.706000e-09,1.616000e+01,9.677000e+00
4.906000e-09,1.626000e+01,9.675000e+00
5.100000e-09,1.616000e+01,9.677000e+00
5.105000e-09,1.515000e+01,9.197000e+00
5.117000e-09,1.484000e+01,8.017000e+00
5.152000e-09,1.418000e+01,4.473000e+00
5.200000e-09,2.720000e-01,-5.440000e-03
5.200000e-09,5.904000e-01,-1.181000e-02
5.201000e-09,5.426000e-01,-1.085000e-02
5.201000e-09,2.035000e-01,-4.070000e-03
5.201000e-09,3.132000e-02,-6.265000e-04
5.202000e-09,-4.046000e-03,8.092000e-05
5.202000e-09,-1.583000e-02,3.166000e-04
5.202000e-09,-1.875000e-02,3.751000e-04
5.202000e-09,-1.802000e-02,3.605000e-04
5.202000e-09,-1.476000e-02,2.951000e-04
5.202000e-09,-1.017000e-02,2.034000e-04
5.203000e-09,-5.770000e-03,1.154000e-04
5.203000e-09,-2.397000e-03,4.794000e-05
5.203000e-09,-6.011000e-04,1.202000e-05
5.203000e-09,-1.154000e-04,2.307000e-06
5.203000e-09,1.872000e-04,-3.744000e-06
5.203000e-09,3.001000e-04,-6.003000e-06
5.204000e-09,3.285000e-04,-6.569000e-06
5.204000e-09,2.958000e-04,-5.915000e-06
5.204000e-09,2.259000e-04,-4.518000e-06
5.204000e-09,1.396000e-04,-2.791000e-06
5.204000e-09,5.398000e-05,-1.080000e-06
5.204000e-09,2.736000e-05,-5.472000e-07
5.205000e-09,9.915000e-06,-1.983000e-07
5.205000e-09,1.903000e-06,-3.805000e-08
5.205000e-09,-3.424000e-06,6.847000e-08
5.205000e-09,-5.578000e-06,1.116000e-07
5.205000e-09,-5.562000e-06,1.112000e-07
5.205000e-09,-4.226000e-06,8.452000e-08
5.206000e-09,-2.491000e-06,4.983000e-08
5.206000e-09,-9.636000e-07,1.927000e-08
5.206000e-09,-1.431000e-08,2.862000e-10
5.207000e-09,1.295000e-07,-2.590000e-09
5.207000e-09,1.232000e-07,-2.464000e-09
5.207000e-09,6.690000e-08,-1.338000e-09
5.208000e-09,7.956000e-09,-1.591000e-10
5.209000e-09,-9.146000e-09,1.829000e-10
5.210000e-09,3.353000e-09,-6.705000e-11
5.211000e-09,-8.024000e-10,1.605000e-11
5.215000e-09,3.700000e-10,-7.400000e-12
5.227000e-09,-2.600000e-10,5.199000e-12
5.264000e-09,2.266000e-10,-4.531000e-12
5.375000e-09,-2.158000e-10,4.315000e-12
5.575000e-09,2.099000e-10,-4.197000e-12
5.775000e-09,-2.040000e-10,4.081000e-12
5.975000e-09,1.982000e-10,-3.965000e-12
6.175000e-09,-1.925000e-10,3.850000e-12
6.375000e-09,1.868000e-10,-3.737000e-12
6.575000e-09,-1.812000e-10,3.624000e-12
6.775000e-09,1.756000e-10,-3.512000e-12
6.975000e-09,-1.701000e-10,3.401000e-12
7.175000e-09,1.646000e-10,-3.292000e-12
7.375000e-09,-1.591000e-10,3.183000e-12
7.575000e-09,1.538000e-10,-3.075000e-12
7.775000e-09,-1.484000e-10,2.968000e-12
7.975000e-09,1.431000e-10,-2.863000e-12
8.175000e-09,-1.379000e-10,2.758000e-12
8.375000e-09,1.327000e-10,-2.654000e-12
8.575000e-09,-1.275000e-10,2.551000e-12
8.775000e-09,1.224000e-10,-2.449000e-12
8.975000e-09,-1.174000e-10,2.348000e-12
9.175000e-09,1.124000e-10,-2.248000e-12
9.375000e-09,-1.074000e-10,2.149000e-12
9.575000e-09,1.025000e-10,-2.050000e-12
9.775000e-09,-9.764000e-11,1.953000e-12
9.975000e-09,9.282000e-11,-1.856000e-12
1.000000e-08,-5.622000e-11,1.124000e-12
