Time(s),Voltage(V),Current(A)
0.000000e+00,4.837000e-200,-9.674000e-202
2.000000e-12,3.696000e-01,5.927000e-02
4.000000e-12,5.025000e-01,1.233000e-01
7.649000e-12,6.612000e-01,2.418000e-01
1.080000e-11,8.954000e-01,3.420000e-01
1.690000e-11,1.377000e+00,5.359000e-01
2.492000e-11,2.264000e+00,7.853000e-01
3.655000e-11,3.908000e+00,1.140000e+00
5.240000e-11,6.942000e+00,1.608000e+00
7.445000e-11,1.251000e+01,2.232000e+00
1.049000e-10,2.275000e+01,3.041000e+00
1.472000e-10,4.143000e+01,4.077000e+00
1.707000e-10,5.396000e+01,4.610000e+00
1.918000e-10,6.184000e+01,5.156000e+00
2.184000e-10,6.796000e+01,5.922000e+00
2.553000e-10,7.337000e+01,7.044000e+00
3.000000e-10,7.816000e+01,8.437000e+00
3.070000e-10,7.828000e+01,8.434000e+00
3.168000e-10,7.879000e+01,8.424000e+00
3.463000e-10,7.967000e+01,8.407000e+00
3.617000e-10,7.979000e+01,8.404000e+00
3.757000e-10,7.991000e+01,8.402000e+00
4.028000e-10,7.991000e+01,8.402000e+00
4.224000e-10,7.993000e+01,8.401000e+00
4.474000e-10,7.976000e+01,8.405000e+00
4.773000e-10,7.957000e+01,8.409000e+00
5.103000e-10,7.879000e+01,8.424000e+00
5.524000e-10,7.748000e+01,8.450000e+00
5.974000e-10,7.362000e+01,8.528000e+00
6.609000e-10,6.559000e+01,8.688000e+00
7.410000e-10,4.275000e+01,9.145000e+00
8.473000e-10,2.284000e+01,9.543000e+00
9.241000e-10,1.886000e+01,9.623000e+00
1.001000e-09,1.729000e+01,9.654000e+00
1.069000e-09,1.668000e+01,9.666000e+00
1.218000e-09,1.617000e+01,9.677000e+00
1.340000e-09,1.625000e+01,9.675000e+00
1.540000e-09,1.617000e+01,9.677000e+00
1.740000e-09,1.625000e+01,9.675000e+00
1.940000e-09,1.617000e+01,9.677000e+00
2.140000e-09,1.624000e+01,9.675000e+00
2.340000e-09,1.618000e+01,9.676000e+00
2.540000e-09,1.624000e+01,9.675000e+00
2.740000e-09,1.618000e+01,9.676000e+00
2.940000e-09,1.624000e+01,9.675000e+00
3.140000e-09,1.618000e+01,9.676000e+00
3.340000e-09,1.624000e+01,9.675000e+00
3.540000e-09,1.618000e+01,9.676000e+00
3.740000e-09,1.624000e+01,9.675000e+00
3.940000e-09,1.618000e+01,9.676000e+00
4.140000e-09,1.624000e+01,9.675000e+00
4.340000e-09,1.618000e+01,9.676000e+00
4.540000e-09,1.624000e+01,9.675000e+00
4.740000e-09,1.618000e+01,9.676000e+00
4.940000e-09,1.624000e+01,9.675000e+00
5.140000e-09,1.618000e+01,9.676000e+00
5.300000e-09,1.624000e+01,9.675000e+00
5.315000e-09,1.579000e+01,9.184000e+00
5.334000e-09,1.566000e+01,8.553000e+00
5.391000e-09,1.528000e+01,6.658000e+00
5.531000e-09,1.430000e+01,2.002000e+00
5.600000e-09,1.283000e+01,-2.566000e-01
5.602000e-09,1.306000e+01,-2.612000e-01
5.604000e-09,1.305000e+01,-2.609000e-01
5.610000e-09,1.283000e+01,-2.565000e-01
5.617000e-09,1.267000e+01,-2.533000e-01
5.630000e-09,1.227000e+01,-2.453000e-01
5.653000e-09,1.164000e+01,-2.329000e-01
5.691000e-09,1.063000e+01,-2.127000e-01
5.760000e-09,9.072000e+00,-1.814000e-01
5.882000e-09,6.798000e+00,-1.360000e-01
6.060000e-09,4.483000e+00,-8.965000e-02
6.260000e-09,2.769000e+00,-5.539000e-02
6.460000e-09,1.744000e+00,-3.487000e-02
6.660000e-09,1.065000e+00,-2.130000e-02
6.860000e-09,6.828000e-01,-1.366000e-02
7.060000e-09,4.051000e-01,-8.101000e-03
7.260000e-09,2.719000e-01,-5.438000e-03
7.460000e-09,1.495000e-01,-2.991000e-03
7.660000e-09,1.128000e-01,-2.255000e-03
7.860000e-09,5.063000e-02,-1.013000e-03
8.060000e-09,5.105000e-02,-1.021000e-03
8.260000e-09,1.238000e-02,-2.477000e-04
8.460000e-09,2.710000e-02,-5.420000e-04
8.660000e-09,-2.372000e-03,4.745000e-05
8.860000e-09,1.775000e-02,-3.551000e-04
9.060000e-09,-8.058000e-03,1.612000e-04
9.260000e-09,1.405000e-02,-2.809000e-04
9.460000e-09,-1.023000e-02,2.045000e-04
9.660000e-09,1.254000e-02,-2.508000e-04
9.860000e-09,-1.102000e-02,2.204000e-04
1.000000e-08,1.193000e-02,-2.387000e-04
