Time(s),Voltage(V),Current(A)
0.000000e+00,4.996000e-200,-9.991000e-202
2.000000e-12,3.696000e-01,5.927000e-02
4.000000e-12,5.025000e-01,1.233000e-01
7.649000e-12,6.612000e-01,2.418000e-01
1.080000e-11,8.954000e-01,3.420000e-01
1.690000e-11,1.377000e+00,5.359000e-01
2.492000e-11,2.264000e+00,7.853000e-01
3.655000e-11,3.908000e+00,1.140000e+00
5.240000e-11,6.942000e+00,1.608000e+00
7.445000e-11,1.251000e+01,2.232000e+00
1.049000e-10,2.275000e+01,3.041000e+00
1.472000e-10,4.143000e+01,4.077000e+00
1.707000e-10,5.396000e+01,4.610000e+00
1.918000e-10,6.184000e+01,5.156000e+00
2.184000e-10,6.796000e+01,5.922000e+00
2.553000e-10,7.337000e+01,7.044000e+00
3.000000e-10,7.816000e+01,8.437000e+00
3.070000e-10,7.828000e+01,8.434000e+00
3.168000e-10,7.879000e+01,8.424000e+00
3.302000e-10,7.931000e+01,8.414000e+00
3.339000e-10,7.940000e+01,8.412000e+00
3.374000e-10,7.950000e+01,8.410000e+00
3.425000e-10,7.960000e+01,8.408000e+00
3.460000e-10,7.968000e+01,8.406000e+00
3.499000e-10,7.974000e+01,8.405000e+00
3.538000e-10,7.981000e+01,8.404000e+00
3.576000e-10,7.985000e+01,8.403000e+00
3.617000e-10,7.991000e+01,8.402000e+00
3.659000e-10,7.995000e+01,8.401000e+00
3.704000e-10,7.999000e+01,8.400000e+00
3.754000e-10,8.003000e+01,8.399000e+00
3.808000e-10,8.007000e+01,8.399000e+00
3.870000e-10,8.010000e+01,8.398000e+00
3.941000e-10,8.013000e+01,8.397000e+00
4.024000e-10,8.015000e+01,8.397000e+00
4.121000e-10,8.017000e+01,8.397000e+00
4.239000e-10,8.017000e+01,8.397000e+00
4.383000e-10,8.014000e+01,8.397000e+00
4.564000e-10,7.997000e+01,8.401000e+00
4.794000e-10,7.902000e+01,8.420000e+00
5.096000e-10,7.226000e+01,8.555000e+00
5.484000e-10,4.327000e+01,9.135000e+00
5.915000e-10,1.975000e+01,9.605000e+00
6.274000e-10,1.667000e+01,9.667000e+00
6.542000e-10,1.627000e+01,9.675000e+00
6.837000e-10,1.624000e+01,9.675000e+00
7.128000e-10,1.618000e+01,9.676000e+00
7.755000e-10,1.624000e+01,9.675000e+00
8.589000e-10,1.618000e+01,9.676000e+00
1.006000e-09,1.624000e+01,9.675000e+00
1.206000e-09,1.618000e+01,9.676000e+00
1.406000e-09,1.624000e+01,9.675000e+00
1.606000e-09,1.618000e+01,9.676000e+00
1.806000e-09,1.624000e+01,9.675000e+00
2.006000e-09,1.618000e+01,9.676000e+00
2.206000e-09,1.624000e+01,9.675000e+00
2.406000e-09,1.618000e+01,9.676000e+00
2.606000e-09,1.624000e+01,9.675000e+00
2.806000e-09,1.618000e+01,9.676000e+00
3.006000e-09,1.624000e+01,9.675000e+00
3.206000e-09,1.618000e+01,9.676000e+00
3.406000e-09,1.624000e+01,9.675000e+00
3.606000e-09,1.618000e+01,9.676000e+00
3.806000e-09,1.624000e+01,9.675000e+00
4.006000e-09,1.618000e+01,9.676000e+00
4.206000e-09,1.624000e+01,9.675000e+00
4.406000e-09,1.618000e+01,9.676000e+00
4.606000e-09,1.624000e+01,9.675000e+00
4.806000e-09,1.618000e+01,9.676000e+00
5.006000e-09,1.624000e+01,9.675000e+00
5.206000e-09,1.618000e+01,9.676000e+00
5.300000e-09,1.624000e+01,9.675000e+00
5.315000e-09,1.579000e+01,9.184000e+00
5.330000e-09,1.568000e+01,8.685000e+00
5.375000e-09,1.539000e+01,7.188000e+00
5.502000e-09,1.451000e+01,2.972000e+00
5.600000e-09,1.254000e+01,-2.507000e-01
5.602000e-09,1.276000e+01,-2.552000e-01
5.605000e-09,1.273000e+01,-2.546000e-01
5.612000e-09,1.249000e+01,-2.497000e-01
5.619000e-09,1.231000e+01,-2.461000e-01
5.634000e-09,1.185000e+01,-2.371000e-01
5.662000e-09,1.115000e+01,-2.230000e-01
5.706000e-09,1.004000e+01,-2.007000e-01
5.786000e-09,8.339000e+00,-1.668000e-01
5.929000e-09,5.946000e+00,-1.189000e-01
6.124000e-09,3.763000e+00,-7.526000e-02
6.324000e-09,2.322000e+00,-4.644000e-02
6.524000e-09,1.465000e+00,-2.929000e-02
6.724000e-09,8.918000e-01,-1.784000e-02
6.924000e-09,5.746000e-01,-1.149000e-02
7.124000e-09,3.381000e-01,-6.762000e-03
7.324000e-09,2.299000e-01,-4.598000e-03
7.524000e-09,1.237000e-01,-2.475000e-03
7.724000e-09,9.634000e-02,-1.927000e-03
7.924000e-09,4.078000e-02,-8.155000e-04
8.124000e-09,4.456000e-02,-8.913000e-04
8.324000e-09,8.702000e-03,-1.740000e-04
8.524000e-09,2.445000e-02,-4.891000e-04
8.724000e-09,-3.668000e-03,7.335000e-05
8.924000e-09,1.659000e-02,-3.318000e-04
9.124000e-09,-8.434000e-03,1.687000e-04
9.324000e-09,1.346000e-02,-2.692000e-04
9.524000e-09,-1.024000e-02,2.049000e-04
9.724000e-09,1.218000e-02,-2.437000e-04
9.924000e-09,-1.090000e-02,2.180000e-04
1.000000e-08,1.166000e-02,-2.332000e-04
