time,vout,iout
0,-6.55E-53,1.31E-54
2.00E-13,3.03E-01,6.04E-04
2.34E-13,3.54E-01,7.24E-04
2.79E-13,4.19E-01,9.10E-04
3.02E-13,4.53E-01,1.02E-03
3.33E-13,4.96E-01,1.17E-03
3.58E-13,5.31E-01,1.30E-03
3.86E-13,5.71E-01,1.46E-03
4.13E-13,6.08E-01,1.63E-03
4.43E-13,6.47E-01,1.82E-03
4.72E-13,6.86E-01,2.02E-03
5.04E-13,7.27E-01,2.24E-03
5.67E-13,8.09E-01,2.73E-03
6.41E-13,9.00E-01,3.35E-03
7.60E-13,1.041,4.50E-03
8.01E-13,1.088,4.93E-03
8.31E-13,1.122,5.27E-03
8.43E-13,1.135,5.39E-03
8.51E-13,1.144,5.48E-03
8.61E-13,1.155,5.60E-03
8.67E-13,1.162,5.67E-03
8.72E-13,1.167,5.73E-03
8.77E-13,1.172,5.79E-03
8.81E-13,1.177,5.84E-03
8.86E-13,1.182,5.89E-03
8.90E-13,1.186,5.94E-03
8.94E-13,1.191,5.99E-03
8.99E-13,1.196,6.04E-03
9.04E-13,1.202,6.10E-03
9.10E-13,1.208,6.17E-03
9.16E-13,1.214,6.25E-03
9.24E-13,1.222,6.34E-03
9.33E-13,1.232,6.45E-03
9.44E-13,1.244,6.59E-03
9.58E-13,1.259,6.76E-03
9.76E-13,1.278,6.99E-03
1.00E-12,1.303,7.30E-03
1.03E-12,1.336,7.73E-03
1.08E-12,1.379,8.31E-03
1.13E-12,1.434,9.10E-03
1.19E-12,1.486,9.89E-03
1.24E-12,1.538,1.07E-02
1.30E-12,1.587,1.16E-02
1.36E-12,1.641,1.26E-02
1.43E-12,1.7,1.37E-02
1.51E-12,1.765,1.50E-02
1.60E-12,1.836,1.66E-02
1.70E-12,1.913,1.85E-02
1.82E-12,1.996,2.07E-02
1.95E-12,2.085,2.34E-02
2.10E-12,2.18,2.64E-02
2.27E-12,2.279,3.00E-02
2.46E-12,2.383,3.42E-02
2.67E-12,2.49,3.91E-02
2.90E-12,2.6,4.48E-02
3.17E-12,2.713,5.13E-02
3.46E-12,2.828,5.89E-02
3.79E-12,2.945,6.75E-02
4.16E-12,3.065,7.74E-02
4.57E-12,3.189,8.85E-02
5.03E-12,3.32,1.01E-01
5.54E-12,3.461,1.15E-01
6.10E-12,3.617,1.31E-01
6.74E-12,3.795,1.49E-01
7.45E-12,4.004,1.68E-01
8.24E-12,4.254,1.90E-01
9.13E-12,4.56,2.13E-01
1.01E-11,4.937,2.39E-01
1.13E-11,5.404,2.67E-01
1.25E-11,5.985,2.98E-01
1.40E-11,6.705,3.31E-01
1.56E-11,7.594,3.67E-01
1.74E-11,8.687,4.06E-01
1.95E-11,10.02,4.49E-01
2.19E-11,11.56,4.98E-01
2.45E-11,13.09,5.54E-01
2.74E-11,14.59,6.23E-01
3.10E-11,16.12,7.10E-01
3.52E-11,17.76,8.18E-01
4.03E-11,19.67,9.51E-01
4.65E-11,21.99,1.111
5.39E-11,24.86,1.3
6.26E-11,28.36,1.521
7.30E-11,32.56,1.782
8.53E-11,37.56,2.091
9.99E-11,43.46,2.461
1.05E-10,45.5,2.591
1.09E-10,47.03,2.689
1.12E-10,48.09,2.757
1.13E-10,48.82,2.805
1.15E-10,49.34,2.839
1.15E-10,49.52,2.851
1.16E-10,49.62,2.857
1.16E-10,49.68,2.861
1.16E-10,49.73,2.865
1.16E-10,49.79,2.87
1.16E-10,49.88,2.876
1.17E-10,50.12,2.897
1.18E-10,50.25,2.91
1.18E-10,50.42,2.927
1.19E-10,50.58,2.945
1.20E-10,50.76,2.967
1.20E-10,50.98,2.992
1.22E-10,51.25,3.024
1.23E-10,51.63,3.065
1.25E-10,52.25,3.127
1.28E-10,53.02,3.198
1.36E-10,55.41,3.41
1.48E-10,59.15,3.746
1.67E-10,64.06,4.275
1.84E-10,67.45,4.775
2.04E-10,70.69,5.377
2.15E-10,72.29,5.721
2.27E-10,73.87,6.089
2.44E-10,75.9,6.609
2.64E-10,78.03,7.233
2.84E-10,79.85,7.863
3.00E-10,81.12,8.378
3.02E-10,79.55,8.409
3.08E-10,77.6,8.448
3.20E-10,76.17,8.477
3.29E-10,75,8.5
3.44E-10,72.97,8.541
3.64E-10,70.3,8.594
3.84E-10,67.74,8.645
4.04E-10,65.29,8.694
4.24E-10,62.93,8.741
4.44E-10,60.65,8.787
4.64E-10,58.47,8.831
4.84E-10,56.36,8.873
5.04E-10,54.25,8.915
5.24E-10,52.16,8.957
5.44E-10,50.15,8.997
5.64E-10,48.23,9.035
5.84E-10,46.42,9.072
6.04E-10,44.7,9.106
6.24E-10,43.06,9.139
6.44E-10,41.51,9.17
6.64E-10,40.03,9.199
6.84E-10,38.63,9.227
7.04E-10,37.31,9.254
7.24E-10,36.04,9.279
7.44E-10,34.84,9.303
7.64E-10,33.7,9.326
7.84E-10,32.62,9.348
8.04E-10,31.59,9.368
8.24E-10,30.62,9.388
8.44E-10,29.69,9.406
8.64E-10,28.8,9.424
8.84E-10,27.97,9.441
9.04E-10,27.17,9.457
9.24E-10,26.41,9.472
9.44E-10,25.69,9.486
9.64E-10,25,9.5
9.84E-10,24.34,9.513
1.00E-09,23.72,9.526
1.02E-09,23.13,9.537
1.04E-09,22.57,9.549
1.06E-09,22.03,9.559
1.08E-09,21.52,9.57
1.10E-09,21.03,9.579
1.12E-09,20.56,9.589
1.14E-09,20.12,9.598
1.16E-09,19.7,9.606
1.18E-09,19.29,9.614
1.20E-09,18.91,9.622
1.22E-09,18.54,9.629
1.24E-09,18.19,9.636
1.26E-09,17.85,9.643
1.28E-09,17.53,9.649
1.30E-09,17.23,9.655
1.32E-09,16.94,9.661
1.34E-09,16.66,9.667
1.36E-09,16.39,9.672
1.38E-09,16.14,9.677
1.40E-09,15.89,9.682
1.42E-09,15.66,9.687
1.44E-09,15.44,9.691
1.46E-09,15.22,9.696
1.48E-09,15.02,9.7
1.50E-09,14.82,9.704
1.52E-09,14.63,9.707
1.54E-09,14.45,9.711
1.56E-09,14.28,9.714
1.58E-09,14.12,9.718
1.60E-09,13.96,9.721
1.62E-09,13.81,9.724
1.64E-09,13.66,9.727
1.66E-09,13.52,9.73
1.68E-09,13.39,9.732
1.70E-09,13.26,9.735
1.72E-09,13.13,9.737
1.74E-09,13.01,9.74
1.76E-09,12.9,9.742
1.78E-09,12.79,9.744
1.80E-09,12.68,9.746
1.82E-09,12.58,9.748
1.84E-09,12.48,9.75
1.86E-09,12.39,9.752
1.88E-09,12.3,9.754
