#1_PESD18VF1BL_POS at 60 V_x,#1_PESD18VF1BL_POS at 60 V_y,#1_PESD18VF1BL_POS at 200 V_x,#1_PESD18VF1BL_POS at 200 V_y,#1_PESD18VF1BL_POS at 500 V_x,#1_PESD18VF1BL_POS at 500 V_y
-0.0000000019,-0.0443706543,-0.0000000019,0.4298178641,-0.0000000019,1.9487976959
-0.0000000019,1.2043590112,-0.0000000019,-0.4979103684,-0.0000000019,0.4534864340
-0.0000000018,-0.1928192518,-0.0000000018,-0.3256082033,-0.0000000018,1.5393024583
-0.0000000018,-0.2801926485,-0.0000000018,-0.1566867797,-0.0000000018,-1.8746953752
-0.0000000017,0.1399628478,-0.0000000017,0.5133366666,-0.0000000017,-0.5669172225
-0.0000000017,0.0799486952,-0.0000000017,0.8792930499,-0.0000000017,1.0782773889
-0.0000000016,-0.1989410762,-0.0000000016,0.7272301649,-0.0000000016,2.6147458281
-0.0000000016,0.4766317866,-0.0000000016,-0.5373569294,-0.0000000016,-1.1083519989
-0.0000000015,-0.0943323275,-0.0000000015,-0.655627628,-0.0000000015,-1.7735485134
-0.0000000015,0.4146948775,-0.0000000015,-0.4328306567,-0.0000000015,-0.0977976785
-0.0000000014,-0.2870863073,-0.0000000014,-1.0563234348,-0.0000000014,-0.5597493449
-0.0000000014,-0.1278694686,-0.0000000014,0.6310647924,-0.0000000014,2.2854587698
-0.0000000013,-0.1563219835,-0.0000000013,1.0195661528,-0.0000000013,-0.2668847973
-0.0000000013,-0.6651304654,-0.0000000013,0.5160220487,-0.0000000013,0.0603659249
-0.0000000012,0.2211933109,-0.0000000012,-0.5909500520,-0.0000000012,1.0321230294
-0.0000000012,0.3507481955,-0.0000000012,-1.4940016754,-0.0000000012,-1.0863373535
-0.0000000011,0.5271343301,-0.0000000011,-0.8593856909,-0.0000000011,-1.3176551351
-0.0000000011,-0.0655666901,-0.0000000011,0.1906934422,-0.0000000011,-1.1045869844
-0.0000000010,-0.8074206274,-0.0000000010,0.8495127341,-0.0000000010,3.3048732770
-0.000000001,-0.3258158370,-0.000000001,0.7275533317,-0.000000001,4.0048290090
-0.0000000009,-0.6812844926,-0.0000000009,-0.2110900944,-0.0000000009,-3.1319347468
-0.0000000009,-0.1279147526,-0.0000000009,-1.8266834716,-0.0000000009,0.145343447
-0.0000000008,1.2712188437,-0.0000000008,-1.1429820913,-0.0000000008,-0.8388430162
-0.0000000008,0.1945591502,-0.0000000008,-0.5893541529,-0.0000000008,-1.9228403042
-0.0000000007,-0.0075926042,-0.0000000007,0.3408662425,-0.0000000007,1.952309554
-0.0000000007,-0.190554625,-0.0000000007,1.5308826670,-0.0000000007,1.9597954677
-0.0000000006,-0.7586568,-0.0000000006,1.0726087638,-0.0000000006,1.4954371068
-0.0000000006,0.5329352995,-0.0000000006,-0.2869257741,-0.0000000006,1.0185053282
