TLP,time,vout
0,0,7.54E-120
0,1.00E-11,4.84E-51
0,2.00E-11,4.19E-51
0,5.00E-11,-6.51E-51
0,1.40E-10,2.14E-51
0,3.00E-10,-1.00E-51
0,3.48E-10,-5.07E-52
0,4.92E-10,2.83E-52
0,9.24E-10,-2.33E-52
0,1.92E-09,2.14E-52
0,2.92E-09,-1.96E-52
0,3.92E-09,1.79E-52
0,4.92E-09,-1.64E-52
0,5.30E-09,1.29E-52
0,5.32E-09,8.67E-53
0,5.36E-09,-4.68E-54
0,5.50E-09,1.24E-54
0,5.60E-09,9.96E-55
0,5.63E-09,-6.36E-55
0,5.73E-09,1.74E-55
0,6.01E-09,-9.41E-56
0,6.86E-09,7.23E-56
0,7.86E-09,-5.53E-56
0,8.86E-09,3.96E-56
0,9.86E-09,-2.51E-56
0,1.00E-08,-5.09E-56
1,0,7.54E-120
1,1.00E-11,1.38E-02
1,2.00E-11,2.82E-02
1,3.05E-11,4.95E-02
1,4.01E-11,7.49E-02
1,5.52E-11,1.19E-01
1,7.25E-11,1.74E-01
1,1.05E-10,2.79E-01
1,1.39E-10,3.94E-01
1,1.99E-10,5.91E-01
1,2.88E-10,8.86E-01
1,3.00E-10,9.25E-01
1,3.04E-10,9.31E-01
1,3.06E-10,9.36E-01
1,3.12E-10,9.51E-01
1,3.22E-10,9.69E-01
1,3.31E-10,9.78E-01
1,3.43E-10,9.85E-01
1,3.55E-10,9.88E-01
1,3.70E-10,9.90E-01
1,3.85E-10,9.91E-01
1,4.04E-10,9.92E-01
1,4.27E-10,9.92E-01
1,4.60E-10,9.92E-01
1,5.05E-10,9.92E-01
1,6.05E-10,9.92E-01
1,8.85E-10,9.92E-01
1,1.73E-09,9.92E-01
1,2.73E-09,9.92E-01
1,3.73E-09,9.92E-01
1,4.73E-09,9.92E-01
1,5.30E-09,9.92E-01
1,5.31E-09,9.83E-01
1,5.31E-09,9.78E-01
1,5.33E-09,9.53E-01
1,5.34E-09,9.25E-01
1,5.36E-09,8.65E-01
1,5.38E-09,8.09E-01
1,5.40E-09,7.17E-01
1,5.44E-09,6.04E-01
1,5.50E-09,4.06E-01
1,5.60E-09,6.72E-02
1,5.61E-09,5.55E-02
1,5.61E-09,4.44E-02
1,5.63E-09,1.86E-02
1,5.64E-09,1.05E-02
1,5.65E-09,5.23E-03
1,5.66E-09,3.12E-03
1,5.67E-09,1.73E-03
1,5.68E-09,1.00E-03
1,5.69E-09,5.47E-04
1,5.70E-09,2.42E-04
1,5.72E-09,1.32E-04
1,5.73E-09,7.42E-05
1,5.74E-09,4.29E-05
1,5.75E-09,2.30E-05
1,5.76E-09,1.27E-05
1,5.77E-09,6.83E-06
1,5.78E-09,3.82E-06
1,5.79E-09,2.13E-06
1,5.80E-09,1.19E-06
1,5.81E-09,6.61E-07
1,5.82E-09,3.67E-07
1,5.83E-09,2.04E-07
1,5.84E-09,1.13E-07
1,5.85E-09,6.30E-08
1,5.87E-09,3.50E-08
1,5.88E-09,1.95E-08
1,5.89E-09,1.08E-08
1,5.90E-09,5.61E-09
1,5.91E-09,2.48E-09
1,5.93E-09,8.66E-10
1,5.95E-09,2.05E-10
