time,vout,iout,
0,0.00E+00,0.00E+00,
2.002E-10,1.22E-01,2.43E-04,
2.00234E-10,1.42E-01,2.90E-04,
2.00279E-10,1.68E-01,3.65E-04,
2.00302E-10,1.82E-01,4.08E-04,
2.00333E-10,1.99E-01,4.69E-04,
2.00358E-10,2.13E-01,5.21E-04,
2.00386E-10,2.29E-01,5.87E-04,
2.00413E-10,2.44E-01,6.52E-04,
2.00443E-10,2.60E-01,7.29E-04,
2.00472E-10,2.75E-01,8.09E-04,
2.00504E-10,2.92E-01,8.98E-04,
2.00567E-10,3.25E-01,1.09E-03,
2.00641E-10,3.61E-01,1.35E-03,
2.0076E-10,4.18E-01,1.81E-03,
2.00907E-10,4.83E-01,2.46E-03,
2.0109E-10,5.58E-01,3.39E-03,
2.0115E-10,5.82E-01,3.74E-03,
2.012E-10,6.00E-01,4.02E-03,
2.0123E-10,6.13E-01,4.22E-03,
2.0125E-10,6.19E-01,4.33E-03,
2.0127E-10,6.25E-01,4.43E-03,
2.0129E-10,6.33E-01,4.57E-03,
2.013E-10,6.38E-01,4.65E-03,
2.0131E-10,6.41E-01,4.72E-03,
2.0132E-10,6.44E-01,4.76E-03,
2.0133E-10,6.46E-01,4.81E-03,
2.0133E-10,6.49E-01,4.84E-03,
2.0134E-10,6.51E-01,4.88E-03,
2.0134E-10,6.53E-01,4.92E-03,
2.0135E-10,6.55E-01,4.96E-03,
2.0136E-10,6.57E-01,5.00E-03,
2.0136E-10,6.60E-01,5.05E-03,
2.0137E-10,6.62E-01,5.10E-03,
2.0138E-10,6.65E-01,5.15E-03,
2.0139E-10,6.68E-01,5.22E-03,
2.014E-10,6.72E-01,5.29E-03,
2.0142E-10,6.77E-01,5.39E-03,
2.0143E-10,6.83E-01,5.51E-03,
2.0146E-10,6.91E-01,5.67E-03,
2.0149E-10,7.01E-01,5.87E-03,
2.0153E-10,7.14E-01,6.16E-03,
2.0158E-10,7.29E-01,6.49E-03,
2.0162E-10,7.44E-01,6.84E-03,
2.0167E-10,7.58E-01,7.18E-03,
2.0172E-10,7.73E-01,7.56E-03,
2.0178E-10,7.89E-01,7.99E-03,
2.0184E-10,8.07E-01,8.49E-03,
2.0192E-10,8.27E-01,9.07E-03,
2.02E-10,8.49E-01,9.76E-03,
2.021E-10,8.74E-01,1.06E-02,
2.0221E-10,9.01E-01,1.15E-02,
2.0234E-10,9.30E-01,1.26E-02,
2.0248E-10,9.61E-01,1.39E-02,
2.0264E-10,9.94E-01,1.55E-02,
2.0283E-10,1.03,1.72E-02,
2.0304E-10,1.067,1.93E-02,
2.0328E-10,1.106,2.17E-02,
2.0354E-10,1.146,2.44E-02,
2.0384E-10,1.188,2.76E-02,
2.0418E-10,1.232,3.13E-02,
2.0456E-10,1.278,3.54E-02,
2.0498E-10,1.327,4.01E-02,
2.0546E-10,1.381,4.54E-02,
2.06E-10,1.44,5.14E-02,
2.0659E-10,1.507,5.81E-02,
2.0727E-10,1.585,6.55E-02,
2.0802E-10,1.678,7.37E-02,
