time,vout,iout
0,-4.06E-50,8.12E-52
2.002E-10,3.64E-02,7.25E-05
2.00234E-10,4.24E-02,8.69E-05
2.00279E-10,5.02E-02,1.09E-04
2.00302E-10,5.43E-02,1.22E-04
2.00333E-10,5.95E-02,1.40E-04
2.00358E-10,6.37E-02,1.56E-04
2.00386E-10,6.85E-02,1.76E-04
2.00413E-10,7.29E-02,1.95E-04
2.00443E-10,7.77E-02,2.18E-04
2.00472E-10,8.24E-02,2.42E-04
2.00504E-10,8.73E-02,2.69E-04
2.00567E-10,9.71E-02,3.27E-04
2.00641E-10,1.08E-01,4.02E-04
2.0076E-10,1.25E-01,5.40E-04
2.00907E-10,1.45E-01,7.36E-04
2.0109E-10,1.67E-01,1.01E-03
2.0131E-10,1.91E-01,1.40E-03
2.0157E-10,2.18E-01,1.93E-03
2.019E-10,2.46E-01,2.66E-03
2.0201E-10,2.55E-01,2.94E-03
2.021E-10,2.62E-01,3.15E-03
2.0213E-10,2.64E-01,3.24E-03
2.0215E-10,2.66E-01,3.29E-03
2.0218E-10,2.68E-01,3.36E-03
2.0219E-10,2.69E-01,3.40E-03
2.0221E-10,2.70E-01,3.43E-03
2.0222E-10,2.70E-01,3.46E-03
2.0223E-10,2.71E-01,3.49E-03
2.0224E-10,2.72E-01,3.51E-03
2.0225E-10,2.72E-01,3.54E-03
2.0226E-10,2.73E-01,3.56E-03
2.0227E-10,2.74E-01,3.59E-03
2.0228E-10,2.75E-01,3.62E-03
2.0229E-10,2.75E-01,3.64E-03
2.023E-10,2.76E-01,3.68E-03
2.0231E-10,2.77E-01,3.71E-03
2.0233E-10,2.78E-01,3.75E-03
2.0234E-10,2.79E-01,3.79E-03
2.0236E-10,2.80E-01,3.85E-03
2.0239E-10,2.82E-01,3.92E-03
2.0242E-10,2.84E-01,4.00E-03
2.0246E-10,2.87E-01,4.12E-03
2.0252E-10,2.90E-01,4.27E-03
2.0258E-10,2.94E-01,4.43E-03
2.0264E-10,2.97E-01,4.59E-03
2.0269E-10,3.01E-01,4.76E-03
2.0276E-10,3.04E-01,4.94E-03
2.0283E-10,3.08E-01,5.15E-03
2.0292E-10,3.13E-01,5.40E-03
2.0301E-10,3.18E-01,5.69E-03
2.0313E-10,3.24E-01,6.02E-03
2.0325E-10,3.30E-01,6.41E-03
2.034E-10,3.37E-01,6.87E-03
2.0357E-10,3.45E-01,7.40E-03
2.0377E-10,3.53E-01,8.01E-03
2.0399E-10,3.62E-01,8.72E-03
2.0424E-10,3.71E-01,9.54E-03
2.0453E-10,3.82E-01,1.05E-02
2.0486E-10,3.93E-01,1.16E-02
2.0523E-10,4.06E-01,1.28E-02
2.0565E-10,4.20E-01,1.42E-02
2.0613E-10,4.36E-01,1.58E-02
2.0667E-10,4.54E-01,1.76E-02
2.0728E-10,4.76E-01,1.96E-02
2.0797E-10,5.02E-01,2.18E-02
2.0875E-10,5.33E-01,2.43E-02
2.0963E-10,5.71E-01,2.71E-02
2.106E-10,6.19E-01,3.01E-02
2.118E-10,6.78E-01,3.35E-02
2.13E-10,7.50E-01,3.71E-02
2.145E-10,8.41E-01,4.11E-02
2.161E-10,9.52E-01,4.55E-02
2.18E-10,1.088,5.03E-02
2.202E-10,1.254,5.56E-02
2.226E-10,1.456,6.14E-02
2.255E-10,1.701,6.78E-02
2.287E-10,1.994,7.49E-02
2.322E-10,2.317,8.23E-02
2.365E-10,2.732,9.13E-02
2.414E-10,3.222,1.01E-01
2.472E-10,3.82,1.13E-01
2.54E-10,4.55,1.25E-01
2.619E-10,5.449,1.39E-01
2.71E-10,6.569,1.53E-01
2.817E-10,7.973,1.67E-01
2.94E-10,9.744,1.81E-01
3.08E-10,11.97,1.93E-01
3.25E-10,14.76,2.03E-01
3.44E-10,18.2,2.11E-01
3.64E-10,21.95,2.16E-01
3.84E-10,25.76,2.20E-01
4.04E-10,29.57,2.24E-01
4.24E-10,33.34,2.28E-01
4.44E-10,37.07,2.34E-01
4.64E-10,40.75,2.40E-01
4.7E-10,41.91,2.42E-01
4.75E-10,42.79,2.44E-01
4.76E-10,43.02,2.44E-01
4.77E-10,43.14,2.45E-01
4.77E-10,43.17,2.45E-01
4.77E-10,43.19,2.45E-01
4.77E-10,43.2,2.45E-01
4.77E-10,43.21,2.45E-01
4.77E-10,43.22,2.45E-01
4.77E-10,43.23,2.45E-01
4.77E-10,43.24,2.45E-01
4.77E-10,43.24,2.45E-01
4.78E-10,43.25,2.45E-01
4.78E-10,43.26,2.45E-01
4.78E-10,43.28,2.45E-01
4.78E-10,43.29,2.45E-01
4.78E-10,43.32,2.45E-01
4.78E-10,43.34,2.45E-01
4.78E-10,43.36,2.45E-01
4.78E-10,43.39,2.45E-01
4.78E-10,43.43,2.45E-01
4.79E-10,43.5,2.46E-01
4.79E-10,43.57,2.46E-01
4.8E-10,43.64,2.46E-01
4.8E-10,43.72,2.47E-01
4.81E-10,43.81,2.47E-01
4.82E-10,43.92,2.48E-01
4.82E-10,44.04,2.49E-01
4.84E-10,44.19,2.50E-01
4.85E-10,44.39,2.51E-01
4.87E-10,44.74,2.54E-01
4.9E-10,45.14,2.56E-01
4.98E-10,46.37,2.63E-01
5E-10,46.73,2.66E-01
5.01E-10,46.73,2.65E-01
5.03E-10,46.89,2.62E-01
5.05E-10,47.09,2.58E-01
5.08E-10,47.49,2.50E-01
5.18E-10,48.28,2.35E-01
5.24E-10,48.71,2.26E-01
5.33E-10,49.11,2.18E-01
5.41E-10,49.37,2.13E-01
5.5E-10,49.56,2.09E-01
5.6E-10,49.65,2.07E-01
5.72E-10,49.68,2.06E-01
5.91E-10,49.56,2.09E-01
6.11E-10,49.24,2.15E-01
6.31E-10,48.8,2.24E-01
6.51E-10,48.27,2.35E-01
6.71E-10,47.67,2.47E-01
6.91E-10,47.02,2.60E-01
7.11E-10,46.32,2.74E-01
7.31E-10,45.58,2.88E-01
7.51E-10,44.8,3.04E-01
7.71E-10,43.98,3.21E-01
7.91E-10,43.12,3.38E-01
8.11E-10,42.23,3.55E-01
8.31E-10,41.31,3.74E-01
8.51E-10,40.37,3.93E-01
8.71E-10,39.41,4.12E-01
8.91E-10,38.43,4.31E-01
9.11E-10,37.44,4.51E-01
9.31E-10,36.44,4.71E-01
9.51E-10,35.44,4.91E-01
9.71E-10,34.44,5.11E-01
9.91E-10,33.46,5.31E-01
1.011E-09,32.49,5.50E-01
1.031E-09,31.54,5.69E-01
1.051E-09,30.62,5.88E-01
1.071E-09,29.73,6.05E-01
1.091E-09,28.87,6.23E-01
1.111E-09,28.04,6.39E-01
1.131E-09,27.24,6.55E-01
1.151E-09,26.48,6.70E-01
1.171E-09,25.75,6.85E-01
1.191E-09,25.04,6.99E-01
1.21E-09,24.37,7.13E-01
1.23E-09,23.73,7.25E-01
1.25E-09,23.12,7.38E-01
1.27E-09,22.54,7.49E-01
1.29E-09,21.98,7.60E-01
1.31E-09,21.46,7.71E-01
1.33E-09,20.95,7.81E-01
1.35E-09,20.47,7.91E-01
1.37E-09,20.02,8.00E-01
1.39E-09,19.59,8.08E-01
1.41E-09,19.17,8.17E-01
1.43E-09,18.78,8.24E-01
1.45E-09,18.41,8.32E-01
1.47E-09,18.05,8.39E-01
1.49E-09,17.71,8.46E-01
1.51E-09,17.38,8.52E-01
1.53E-09,17.07,8.59E-01
1.55E-09,16.78,8.64E-01
1.57E-09,16.5,8.70E-01
1.59E-09,16.23,8.76E-01
1.61E-09,15.97,8.81E-01
1.63E-09,15.72,8.86E-01
1.65E-09,15.49,8.90E-01
1.67E-09,15.26,8.95E-01
1.69E-09,15.04,8.99E-01
1.71E-09,14.83,9.03E-01
1.73E-09,14.64,9.07E-01
1.75E-09,14.44,9.11E-01
1.77E-09,14.26,9.15E-01
1.79E-09,14.08,9.18E-01
1.81E-09,13.91,9.22E-01
1.83E-09,13.75,9.25E-01
1.85E-09,13.59,9.28E-01
1.87E-09,13.44,9.31E-01
1.89E-09,13.29,9.34E-01
1.91E-09,13.15,9.37E-01
1.93E-09,13.02,9.40E-01
1.95E-09,12.89,9.42E-01
1.97E-09,12.76,9.45E-01
1.99E-09,12.64,9.47E-01
2.01E-09,12.52,9.50E-01
2.03E-09,12.4,9.52E-01
2.05E-09,12.29,9.54E-01
2.07E-09,12.19,9.56E-01
2.09E-09,12.08,9.58E-01
2.11E-09,11.98,9.60E-01
2.13E-09,11.88,9.62E-01
2.15E-09,11.79,9.64E-01
2.17E-09,11.7,9.66E-01
2.19E-09,11.61,9.68E-01
2.21E-09,11.52,9.70E-01
2.23E-09,11.45,9.71E-01
2.25E-09,11.42,9.72E-01
2.27E-09,11.4,9.72E-01
2.29E-09,11.4,9.72E-01
2.31E-09,11.39,9.72E-01
2.33E-09,11.39,9.72E-01
2.35E-09,11.39,9.72E-01
2.37E-09,11.39,9.72E-01
2.39E-09,11.39,9.72E-01
2.41E-09,11.39,9.72E-01
2.43E-09,11.39,9.72E-01
2.45E-09,11.39,9.72E-01
2.47E-09,11.39,9.72E-01
2.49E-09,11.39,9.72E-01
2.51E-09,11.39,9.72E-01
2.53E-09,11.39,9.72E-01
2.55E-09,11.39,9.72E-01
2.57E-09,11.39,9.72E-01
2.59E-09,11.39,9.72E-01
2.61E-09,11.39,9.72E-01
2.63E-09,11.39,9.72E-01
2.65E-09,11.39,9.72E-01
2.67E-09,11.39,9.72E-01
2.69E-09,11.39,9.72E-01
2.71E-09,11.39,9.72E-01
2.73E-09,11.39,9.72E-01
2.75E-09,11.39,9.72E-01
2.77E-09,11.39,9.72E-01
2.79E-09,11.39,9.72E-01
2.81E-09,11.39,9.72E-01
2.83E-09,11.39,9.72E-01
2.85E-09,11.39,9.72E-01
2.87E-09,11.39,9.72E-01
2.89E-09,11.39,9.72E-01
2.91E-09,11.39,9.72E-01
2.93E-09,11.39,9.72E-01
2.95E-09,11.39,9.72E-01
2.97E-09,11.39,9.72E-01
2.99E-09,11.39,9.72E-01
3.01E-09,11.39,9.72E-01
3.03E-09,11.39,9.72E-01
3.05E-09,11.39,9.72E-01
3.07E-09,11.39,9.72E-01
3.09E-09,11.39,9.72E-01
3.11E-09,11.39,9.72E-01
3.13E-09,11.39,9.72E-01
3.15E-09,11.39,9.72E-01
3.17E-09,11.39,9.72E-01
3.19E-09,11.39,9.72E-01
3.21E-09,11.39,9.72E-01
3.23E-09,11.39,9.72E-01
3.25E-09,11.39,9.72E-01
3.27E-09,11.39,9.72E-01
3.29E-09,11.39,9.72E-01
3.31E-09,11.39,9.72E-01
3.33E-09,11.39,9.72E-01
3.35E-09,11.39,9.72E-01
3.37E-09,11.39,9.72E-01
3.39E-09,11.39,9.72E-01
3.41E-09,11.39,9.72E-01
3.43E-09,11.39,9.72E-01
3.45E-09,11.39,9.72E-01
3.47E-09,11.39,9.72E-01
3.49E-09,11.39,9.72E-01
3.51E-09,11.39,9.72E-01
3.53E-09,11.39,9.72E-01
3.55E-09,11.39,9.72E-01
3.57E-09,11.39,9.72E-01
3.59E-09,11.39,9.72E-01
3.61E-09,11.39,9.72E-01
3.63E-09,11.39,9.72E-01
3.65E-09,11.39,9.72E-01
3.67E-09,11.39,9.72E-01
3.69E-09,11.39,9.72E-01
3.71E-09,11.39,9.72E-01
3.73E-09,11.39,9.72E-01
3.75E-09,11.39,9.72E-01
3.77E-09,11.39,9.72E-01
3.79E-09,11.39,9.72E-01
3.81E-09,11.39,9.72E-01
3.83E-09,11.39,9.72E-01
3.85E-09,11.39,9.72E-01
3.87E-09,11.39,9.72E-01
3.89E-09,11.39,9.72E-01
3.91E-09,11.39,9.72E-01
3.93E-09,11.39,9.72E-01
3.95E-09,11.39,9.72E-01
3.97E-09,11.39,9.72E-01
3.99E-09,11.39,9.72E-01
4.01E-09,11.39,9.72E-01
4.03E-09,11.39,9.72E-01
4.05E-09,11.39,9.72E-01
4.07E-09,11.39,9.72E-01
4.09E-09,11.39,9.72E-01
4.11E-09,11.39,9.72E-01
4.13E-09,11.39,9.72E-01
4.15E-09,11.39,9.72E-01
4.17E-09,11.39,9.72E-01
4.19E-09,11.39,9.72E-01
4.21E-09,11.39,9.72E-01
4.23E-09,11.39,9.72E-01
4.25E-09,11.39,9.72E-01
4.27E-09,11.39,9.72E-01
4.29E-09,11.39,9.72E-01
4.31E-09,11.39,9.72E-01
4.33E-09,11.39,9.72E-01
4.35E-09,11.39,9.72E-01
4.37E-09,11.39,9.72E-01
4.39E-09,11.39,9.72E-01
4.41E-09,11.39,9.72E-01
4.43E-09,11.39,9.72E-01
4.45E-09,11.39,9.72E-01
4.47E-09,11.39,9.72E-01
4.49E-09,11.39,9.72E-01
4.51E-09,11.39,9.72E-01
4.53E-09,11.39,9.72E-01
4.55E-09,11.39,9.72E-01
4.57E-09,11.39,9.72E-01
4.59E-09,11.39,9.72E-01
4.61E-09,11.39,9.72E-01
4.63E-09,11.39,9.72E-01
4.65E-09,11.39,9.72E-01
4.67E-09,11.39,9.72E-01
4.69E-09,11.39,9.72E-01
4.71E-09,11.39,9.72E-01
4.73E-09,11.39,9.72E-01
4.75E-09,11.39,9.72E-01
4.77E-09,11.39,9.72E-01
4.79E-09,11.39,9.72E-01
4.81E-09,11.39,9.72E-01
4.83E-09,11.39,9.72E-01
4.85E-09,11.39,9.72E-01
4.87E-09,11.39,9.72E-01
4.89E-09,11.39,9.72E-01
4.91E-09,11.39,9.72E-01
4.93E-09,11.39,9.72E-01
4.95E-09,11.39,9.72E-01
4.97E-09,11.39,9.72E-01
4.99E-09,11.39,9.72E-01
5.01E-09,11.39,9.72E-01
5.03E-09,11.39,9.72E-01
5.05E-09,11.39,9.72E-01
5.07E-09,11.39,9.72E-01
5.09E-09,11.39,9.72E-01
5.11E-09,11.39,9.72E-01
5.13E-09,11.39,9.72E-01
