time,vout,iout,
0,-6.14E-51,1.23E-52,
2.002E-10,3.03E-01,6.04E-04,2.00E-13
2.00234E-10,3.54E-01,7.24E-04,2.34E-13
2.00279E-10,4.19E-01,9.10E-04,2.79E-13
2.00302E-10,4.53E-01,1.02E-03,3.02E-13
2.00333E-10,4.96E-01,1.17E-03,3.33E-13
2.00358E-10,5.31E-01,1.30E-03,3.58E-13
2.00386E-10,5.71E-01,1.46E-03,3.86E-13
2.00413E-10,6.08E-01,1.63E-03,4.13E-13
2.00443E-10,6.47E-01,1.82E-03,4.43E-13
2.00472E-10,6.86E-01,2.02E-03,4.72E-13
2.00504E-10,7.27E-01,2.24E-03,5.04E-13
2.00567E-10,8.09E-01,2.73E-03,5.67E-13
2.00641E-10,9.00E-01,3.35E-03,6.41E-13
2.0076E-10,1.041,4.50E-03,7.60E-13
2.00801E-10,1.088,4.93E-03,8.01E-13
2.00831E-10,1.122,5.27E-03,8.31E-13
2.00843E-10,1.135,5.40E-03,8.43E-13
2.00851E-10,1.144,5.49E-03,8.51E-13
2.00861E-10,1.155,5.60E-03,8.61E-13
2.00867E-10,1.162,5.68E-03,8.67E-13
2.00873E-10,1.168,5.74E-03,8.73E-13
2.00877E-10,1.173,5.79E-03,8.77E-13
2.00882E-10,1.177,5.84E-03,8.82E-13
2.00886E-10,1.182,5.89E-03,8.86E-13
2.0089E-10,1.187,5.94E-03,8.90E-13
2.00895E-10,1.191,5.99E-03,8.95E-13
2.00899E-10,1.196,6.05E-03,8.99E-13
2.00904E-10,1.202,6.11E-03,9.04E-13
2.0091E-10,1.208,6.18E-03,9.10E-13
2.00916E-10,1.215,6.25E-03,9.16E-13
2.00924E-10,1.223,6.34E-03,9.24E-13
2.00933E-10,1.232,6.45E-03,9.33E-13
2.00944E-10,1.244,6.59E-03,9.44E-13
2.00958E-10,1.259,6.77E-03,9.58E-13
2.00977E-10,1.278,7.00E-03,9.77E-13
2.01E-10,1.303,7.31E-03,1.00E-12
2.0103E-10,1.336,7.73E-03,1.03E-12
2.0108E-10,1.378,8.30E-03,1.08E-12
2.0112E-10,1.418,8.87E-03,1.12E-12
2.0116E-10,1.458,9.46E-03,1.16E-12
2.012E-10,1.497,1.01E-02,1.20E-12
2.0125E-10,1.54,1.08E-02,1.25E-12
2.013E-10,1.588,1.16E-02,1.30E-12
2.0136E-10,1.641,1.26E-02,1.36E-12
2.0143E-10,1.7,1.37E-02,1.43E-12
2.0151E-10,1.765,1.50E-02,1.51E-12
2.016E-10,1.836,1.66E-02,1.60E-12
2.017E-10,1.913,1.85E-02,1.70E-12
2.0182E-10,1.996,2.07E-02,1.82E-12
2.0195E-10,2.085,2.34E-02,1.95E-12
2.021E-10,2.18,2.64E-02,2.10E-12
2.0227E-10,2.279,3.00E-02,2.27E-12
2.0246E-10,2.383,3.42E-02,2.46E-12
2.0267E-10,2.49,3.91E-02,2.67E-12
2.029E-10,2.6,4.48E-02,2.90E-12
2.0317E-10,2.713,5.14E-02,3.17E-12
2.0346E-10,2.828,5.89E-02,3.46E-12
2.0379E-10,2.945,6.76E-02,3.79E-12
2.0416E-10,3.065,7.74E-02,4.16E-12
2.0457E-10,3.189,8.86E-02,4.57E-12
2.0503E-10,3.32,1.01E-01,5.03E-12
2.0554E-10,3.461,1.15E-01,5.54E-12
2.0611E-10,3.617,1.31E-01,6.11E-12
2.0674E-10,3.795,1.49E-01,6.74E-12
2.0746E-10,4.004,1.68E-01,7.46E-12
2.0825E-10,4.255,1.90E-01,8.25E-12
2.0915E-10,4.561,2.14E-01,9.15E-12
2.102E-10,4.938,2.40E-01,1.02E-11
2.113E-10,5.407,2.68E-01,1.13E-11
2.126E-10,5.989,2.99E-01,1.26E-11
2.14E-10,6.711,3.32E-01,1.40E-11
2.156E-10,7.574,3.69E-01,1.56E-11
2.174E-10,8.523,4.10E-01,1.74E-11
2.194E-10,9.543,4.57E-01,1.94E-11
2.218E-10,10.65,5.13E-01,2.18E-11
2.245E-10,11.86,5.80E-01,2.45E-11
2.278E-10,13.24,6.61E-01,2.78E-11
2.317E-10,14.84,7.58E-01,3.17E-11
2.363E-10,16.76,8.74E-01,3.63E-11
2.418E-10,19.11,1.011,4.18E-11
2.483E-10,22,1.17,4.83E-11
2.56E-10,25.57,1.355,5.60E-11
2.65E-10,29.93,1.568,6.50E-11
2.756E-10,35.22,1.817,7.56E-11
2.882E-10,41.58,2.11,8.82E-11
3.03E-10,49.16,2.46,1.03E-10
3.09E-10,51.8,2.584,1.09E-10
3.13E-10,53.77,2.677,1.13E-10
3.15E-10,55.14,2.742,1.15E-10
3.17E-10,56.1,2.787,1.17E-10
3.18E-10,56.35,2.8,1.18E-10
3.18E-10,56.44,2.804,1.18E-10
3.18E-10,56.51,2.807,1.18E-10
3.18E-10,56.52,2.808,1.18E-10
3.18E-10,56.54,2.808,1.18E-10
3.18E-10,56.54,2.809,1.18E-10
3.18E-10,56.55,2.809,1.18E-10
3.18E-10,56.56,2.809,1.18E-10
3.18E-10,56.56,2.81,1.18E-10
3.18E-10,56.57,2.81,1.18E-10
3.18E-10,56.57,2.81,1.18E-10
3.18E-10,56.58,2.81,1.18E-10
3.18E-10,56.58,2.811,1.18E-10
3.18E-10,56.59,2.811,1.18E-10
3.18E-10,56.59,2.811,1.18E-10
3.18E-10,56.6,2.811,1.18E-10
3.18E-10,56.61,2.812,1.18E-10
3.18E-10,56.61,2.812,1.18E-10
3.18E-10,56.62,2.812,1.18E-10
3.18E-10,56.62,2.813,1.18E-10
3.18E-10,56.63,2.813,1.18E-10
3.18E-10,56.64,2.813,1.18E-10
3.18E-10,56.65,2.814,1.18E-10
3.18E-10,56.65,2.814,1.18E-10
3.18E-10,56.66,2.815,1.18E-10
3.19E-10,56.67,2.815,1.19E-10
3.19E-10,56.68,2.815,1.19E-10
3.19E-10,56.69,2.816,1.19E-10
3.19E-10,56.71,2.817,1.19E-10
3.19E-10,56.72,2.817,1.19E-10
3.19E-10,56.75,2.818,1.19E-10
3.19E-10,56.77,2.82,1.19E-10
3.19E-10,56.79,2.821,1.19E-10
3.19E-10,56.81,2.822,1.19E-10
3.19E-10,56.85,2.824,1.19E-10
3.19E-10,56.91,2.827,1.19E-10
3.19E-10,57.09,2.838,1.19E-10
3.2E-10,57.21,2.845,1.20E-10
3.2E-10,57.34,2.856,1.20E-10
3.21E-10,57.48,2.867,1.21E-10
3.21E-10,57.61,2.88,1.21E-10
3.22E-10,57.76,2.896,1.22E-10
3.22E-10,57.92,2.915,1.22E-10
3.23E-10,58.1,2.938,1.23E-10
3.24E-10,58.32,2.967,1.24E-10
3.25E-10,58.64,3.003,1.25E-10
3.27E-10,59.19,3.06,1.27E-10
3.3E-10,59.88,3.124,1.30E-10
3.36E-10,61.69,3.292,1.36E-10
3.42E-10,63.43,3.466,1.42E-10
3.48E-10,64.94,3.632,1.48E-10
3.66E-10,68.94,4.14,1.66E-10
3.86E-10,72.61,4.733,1.86E-10
4.06E-10,75.38,5.344,2.06E-10
4.22E-10,77.14,5.863,2.22E-10
4.39E-10,78.53,6.385,2.39E-10
4.52E-10,79.42,6.796,2.52E-10
4.72E-10,80.51,7.441,2.72E-10
4.92E-10,81.29,8.092,2.92E-10
5E-10,81.54,8.369,3.00E-10
5.02E-10,79.87,8.403,3.02E-10
5.08E-10,77.64,8.447,3.08E-10
5.19E-10,75.68,8.486,3.19E-10
5.29E-10,74.03,8.519,3.29E-10
5.44E-10,71.39,8.572,3.44E-10
5.64E-10,67.93,8.641,3.64E-10
5.84E-10,64.72,8.706,3.84E-10
6.04E-10,61.74,8.765,4.04E-10
6.24E-10,58.96,8.821,4.24E-10
6.44E-10,56.37,8.873,4.44E-10
6.64E-10,53.95,8.921,4.64E-10
6.84E-10,51.62,8.968,4.84E-10
7.04E-10,49.36,9.013,5.04E-10
7.24E-10,47.25,9.055,5.24E-10
7.44E-10,45.29,9.094,5.44E-10
7.64E-10,43.49,9.13,5.64E-10
7.84E-10,41.83,9.163,5.84E-10
8.04E-10,40.3,9.194,6.04E-10
8.24E-10,38.88,9.222,6.24E-10
8.44E-10,37.58,9.248,6.44E-10
8.64E-10,36.37,9.273,6.64E-10
8.84E-10,35.25,9.295,6.84E-10
9.04E-10,34.22,9.316,7.04E-10
9.24E-10,33.26,9.335,7.24E-10
9.44E-10,32.37,9.353,7.44E-10
9.64E-10,31.54,9.369,7.64E-10
9.84E-10,30.78,9.384,7.84E-10
1.004E-09,30.06,9.399,8.04E-10
1.024E-09,29.4,9.412,8.24E-10
1.044E-09,28.78,9.424,8.44E-10
1.064E-09,28.2,9.436,8.64E-10
1.084E-09,27.66,9.447,8.84E-10
1.104E-09,27.16,9.457,9.04E-10
1.124E-09,26.68,9.466,9.24E-10
1.144E-09,26.24,9.475,9.44E-10
1.164E-09,25.83,9.483,9.64E-10
1.184E-09,25.44,9.491,9.84E-10
1.2E-09,25.08,9.498,1.00E-09
1.22E-09,24.74,9.505,1.02E-09
1.24E-09,24.42,9.512,1.04E-09
1.26E-09,24.12,9.518,1.06E-09
1.28E-09,23.84,9.523,1.08E-09
1.3E-09,23.57,9.529,1.10E-09
1.32E-09,23.32,9.534,1.12E-09
1.34E-09,23.08,9.538,1.14E-09
1.36E-09,22.86,9.543,1.16E-09
1.38E-09,22.65,9.547,1.18E-09
1.4E-09,22.45,9.551,1.20E-09
1.42E-09,22.26,9.555,1.22E-09
1.44E-09,22.08,9.558,1.24E-09
1.46E-09,21.91,9.562,1.26E-09
1.48E-09,21.76,9.565,1.28E-09
1.5E-09,21.6,9.568,1.30E-09
1.52E-09,21.46,9.571,1.32E-09
1.54E-09,21.32,9.574,1.34E-09
1.56E-09,21.19,9.576,1.36E-09
1.58E-09,21.07,9.579,1.38E-09
1.6E-09,20.95,9.581,1.40E-09
1.62E-09,20.84,9.583,1.42E-09
1.64E-09,20.74,9.585,1.44E-09
1.66E-09,20.64,9.587,1.46E-09
1.68E-09,20.54,9.589,1.48E-09
1.7E-09,20.45,9.591,1.50E-09
1.72E-09,20.36,9.593,1.52E-09
1.74E-09,20.28,9.594,1.54E-09
1.76E-09,20.2,9.596,1.56E-09
1.78E-09,20.12,9.598,1.58E-09
1.8E-09,20.05,9.599,1.60E-09
1.82E-09,19.98,9.6,1.62E-09
1.84E-09,19.92,9.602,1.64E-09
1.86E-09,19.85,9.603,1.66E-09
1.88E-09,19.79,9.604,1.68E-09
1.9E-09,19.73,9.605,1.70E-09
1.92E-09,19.68,9.606,1.72E-09
1.94E-09,19.62,9.608,1.74E-09
1.96E-09,19.57,9.609,1.76E-09
1.98E-09,19.52,9.61,1.78E-09
0.000000002,19.48,9.61,1.80E-09
2.02E-09,19.43,9.611,1.82E-09
2.04E-09,19.39,9.612,1.84E-09
2.06E-09,19.34,9.613,1.86E-09
2.08E-09,19.3,9.614,1.88E-09
2.1E-09,19.27,9.615,1.90E-09
2.12E-09,19.23,9.615,1.92E-09
2.14E-09,19.19,9.616,1.94E-09
2.16E-09,19.16,9.617,1.96E-09
2.18E-09,19.13,9.617,1.98E-09
2.2E-09,19.09,9.618,2.00E-09
2.22E-09,19.06,9.619,2.02E-09
2.24E-09,19.03,9.619,2.04E-09
2.26E-09,19,9.62,2.06E-09
2.28E-09,18.98,9.62,2.08E-09
2.3E-09,18.95,9.621,2.10E-09
2.32E-09,18.92,9.622,2.12E-09
2.34E-09,18.9,9.622,2.14E-09
2.36E-09,18.88,9.622,2.16E-09
2.38E-09,18.85,9.623,2.18E-09
2.4E-09,18.83,9.623,2.20E-09
2.42E-09,18.81,9.624,2.22E-09
2.44E-09,18.79,9.624,2.24E-09
2.46E-09,18.77,9.625,2.26E-09
2.48E-09,18.75,9.625,2.28E-09
2.5E-09,18.73,9.625,2.30E-09
2.52E-09,18.71,9.626,2.32E-09
2.54E-09,18.69,9.626,2.34E-09
2.56E-09,18.68,9.626,2.36E-09
2.58E-09,18.66,9.627,2.38E-09
2.6E-09,18.64,9.627,2.40E-09
2.62E-09,18.63,9.627,2.42E-09
2.64E-09,18.61,9.628,2.44E-09
2.66E-09,18.6,9.628,2.46E-09
2.68E-09,18.59,9.628,2.48E-09
2.7E-09,18.57,9.629,2.50E-09
2.72E-09,18.56,9.629,2.52E-09
2.74E-09,18.55,9.629,2.54E-09
2.76E-09,18.53,9.629,2.56E-09
2.78E-09,18.52,9.63,2.58E-09
2.8E-09,18.51,9.63,2.60E-09
2.82E-09,18.5,9.63,2.62E-09
2.84E-09,18.49,9.63,2.64E-09
2.86E-09,18.48,9.63,2.66E-09
2.88E-09,18.47,9.631,2.68E-09
2.9E-09,18.46,9.631,2.70E-09
2.92E-09,18.45,9.631,2.72E-09
2.94E-09,18.44,9.631,2.74E-09
2.96E-09,18.43,9.631,2.76E-09
2.98E-09,18.42,9.632,2.78E-09
0.000000003,18.41,9.632,2.80E-09
3.02E-09,18.4,9.632,2.82E-09
3.04E-09,18.4,9.632,2.84E-09
3.06E-09,18.39,9.632,2.86E-09
3.08E-09,18.38,9.632,2.88E-09
3.1E-09,18.37,9.633,2.90E-09
3.12E-09,18.37,9.633,2.92E-09
3.14E-09,18.36,9.633,2.94E-09
3.16E-09,18.35,9.633,2.96E-09
3.18E-09,18.35,9.633,2.98E-09
3.2E-09,18.34,9.633,3.00E-09
3.22E-09,18.33,9.633,3.02E-09
3.24E-09,18.33,9.633,3.04E-09
3.26E-09,18.32,9.634,3.06E-09
3.28E-09,18.32,9.634,3.08E-09
3.3E-09,18.31,9.634,3.10E-09
3.32E-09,18.3,9.634,3.12E-09
3.34E-09,18.3,9.634,3.14E-09
3.36E-09,18.29,9.634,3.16E-09
3.38E-09,18.29,9.634,3.18E-09
3.4E-09,18.28,9.634,3.20E-09
3.42E-09,18.28,9.634,3.22E-09
3.44E-09,18.28,9.634,3.24E-09
3.46E-09,18.27,9.635,3.26E-09
3.48E-09,18.27,9.635,3.28E-09
3.5E-09,18.26,9.635,3.30E-09
3.52E-09,18.26,9.635,3.32E-09
3.54E-09,18.25,9.635,3.34E-09
3.56E-09,18.25,9.635,3.36E-09
3.58E-09,18.25,9.635,3.38E-09
3.6E-09,18.24,9.635,3.40E-09
3.62E-09,18.24,9.635,3.42E-09
3.64E-09,18.24,9.635,3.44E-09
