#1_PESD18VF1BL_POS at 500 V_x,#1_PESD18VF1BL_POS at 500 V_y
-1.9E-09,0.225282327
-1.9E-09,0.108240849
-1.8E-09,0.124465689
-1.8E-09,-0.005520226
-1.7E-09,-0.027445554
-1.7E-09,-0.068474913
-1.6E-09,-0.001755371
-1.6E-09,0.113147803
-1.5E-09,0.122707886
-1.5E-09,0.20307464
-1.4E-09,0.121437939
-1.4E-09,0.141288035
-1.3E-09,0.010957207
-1.3E-09,0.06678416
-1.2E-09,0.035401697
-1.2E-09,0.082424833
-1.1E-09,0.092477981
-1.1E-09,0.098574075
-0.000000001,0.080834488
-0.000000001,0.018313513
-9E-10,0.045832168
-9E-10,-0.045135372
-8E-10,-0.031737728
-8E-10,-0.046442115
-7E-10,0.067777408
-7E-10,0.053217428
-6E-10,0.060563818
-6E-10,0.045623611
-5E-10,0.095013379
-5E-10,0.112653303
-4E-10,0.093014681
-4E-10,0.091739479
-3E-10,-0.001544351
-3E-10,-0.099581096
-2E-10,-0.243238682
-2E-10,-0.373802748
-1E-10,-0.625302957
-1E-10,-0.772396846
0,-0.787277481
1E-10,-0.593140644
1E-10,-0.181190086
2E-10,0.469533948
2E-10,1.354813573
3E-10,2.480295107
3E-10,3.762962996
4E-10,4.891235474
4E-10,5.841860394
5E-10,6.568419131
5E-10,7.087898552
6E-10,7.361659908
6E-10,7.514521632
7E-10,7.58698601
7E-10,7.736368303
8E-10,7.977618159
8E-10,8.129967902
9E-10,8.287733612
9E-10,8.484586032
0.000000001,8.589948064
0.000000001,8.476643605
1.1E-09,8.469813244
1.1E-09,8.547532102
1.2E-09,8.556896415
1.2E-09,8.532745828
1.3E-09,8.586713543
1.3E-09,8.67014252
1.4E-09,8.709453242
1.4E-09,8.738614486
1.5E-09,8.671473504
1.5E-09,8.636493353
1.6E-09,8.675201109
1.6E-09,8.737261751
1.7E-09,8.751431498
1.7E-09,8.845435801
1.8E-09,8.945556718
1.8E-09,8.93104669
1.9E-09,8.916481996
1.9E-09,9.011980161
0.000000002,9.069415839
0.000000002,8.988783938
2.1E-09,8.964745597
2.1E-09,9.016885986
2.2E-09,9.086423624
2.2E-09,9.087837728
2.3E-09,9.047273747
2.3E-09,8.95729938
2.4E-09,9.001079536
2.4E-09,9.085838132
2.5E-09,9.084072314
2.5E-09,9.072557519
2.6E-09,9.144222123
2.6E-09,9.197748299
2.7E-09,9.206673828
2.7E-09,9.250505619
2.8E-09,9.235417185
2.8E-09,9.286650412
2.9E-09,9.370340395
2.9E-09,9.366812178
0.000000003,9.326398523
0.000000003,9.453614559
3.1E-09,9.480043193
3.1E-09,9.331785927
3.2E-09,9.309307203
3.2E-09,9.382094466
3.3E-09,9.38941241
3.3E-09,9.369042326
3.4E-09,9.411343209
3.4E-09,9.377930766
3.5E-09,9.417539949
3.5E-09,9.440703389
3.6E-09,9.384246214
3.6E-09,9.352882913
3.7E-09,9.408831881
3.7E-09,9.397037045
3.8E-09,9.351928769
3.8E-09,9.409709017
3.9E-09,9.395873667
3.9E-09,9.381832864
0.000000004,9.349079159
0.000000004,9.362167798
4.1E-09,9.360263889
4.1E-09,9.428054062
4.2E-09,9.414641
4.2E-09,9.38925532
4.3E-09,9.402418443
4.3E-09,9.377731738
4.4E-09,9.391385265
4.4E-09,9.376991378
4.5E-09,9.349035811
4.5E-09,9.326599919
4.6E-09,9.465521909
4.6E-09,9.471713814
4.7E-09,9.412234507
4.7E-09,9.468259287
4.8E-09,9.567797485
4.8E-09,9.562423069
4.9E-09,9.600753552
4.9E-09,9.731446344
0.000000005,9.765993147
0.000000005,9.745428981
5.1E-09,9.651749754
5.1E-09,9.440340318
5.2E-09,9.108264064
5.2E-09,8.66335065
5.3E-09,7.970820634
5.3E-09,7.206886379
5.4E-09,6.569233068
5.4E-09,5.915023262
5.5E-09,5.136696159
5.5E-09,4.510470474
5.6E-09,4.105011495
5.6E-09,3.699511289
5.7E-09,3.343047771
5.7E-09,3.140049353
5.8E-09,2.877676045
5.8E-09,2.565045118
5.9E-09,2.465064931
5.9E-09,2.395371639
0.000000006,2.095440168
0.000000006,1.868712096
6.1E-09,1.857191713
6.1E-09,1.730377703
6.2E-09,1.521055987
6.2E-09,1.531932428
6.3E-09,1.5702435
6.3E-09,1.440738106
6.4E-09,1.432197357
6.4E-09,1.52630867
6.5E-09,1.502946281
6.5E-09,1.372581716
6.6E-09,1.363601531
6.6E-09,1.2847754
6.7E-09,1.127241988
6.7E-09,1.034750823
6.8E-09,1.010751586
6.8E-09,0.934750784
6.9E-09,0.868506859
6.9E-09,0.878863966
0.000000007,0.895544764
0.000000007,0.915864663
7.1E-09,0.931629942
7.1E-09,0.950940006
7.2E-09,0.930077906
7.2E-09,0.983540101
7.3E-09,1.008775923
7.3E-09,1.059131717
7.4E-09,1.067181727
7.4E-09,1.057376738
7.5E-09,1.023820268
7.5E-09,1.018078925
7.6E-09,0.965183021
7.6E-09,0.879824947
7.7E-09,0.856192235
7.7E-09,0.785509087
7.8E-09,0.701807224
7.8E-09,0.728488276
7.9E-09,0.768264212
7.9E-09,0.655046899
