TLP,vout,iout
1,0.999,2.38e-05
2,1.998,4.61e-05
3,2.997,6.83e-05
4,3.995,9.06e-05
5,4.994,0.000113
6,5.993,0.000135
7,6.992,0.000158
8,7.991,0.00018
9,8.99,0.000202
10,9.989,0.000224
11,10.99,0.000247
12,11.99,0.000269
13,12.99,0.000291
14,13.98,0.000314
15,14.98,0.000336
16,15.98,0.000358
17,16.98,0.000381
18,17.98,0.000403
19,18.98,0.000425
20,19.98,0.000447
21,20.98,0.00047
22,21.98,0.000492
23,22.97,0.000514
24,23.97,0.000537
25,24.97,0.000559
26,25.97,0.000581
27,26.97,0.000604
28,27.97,0.000626
29,28.97,0.000648
30,29.97,0.00067
31,30.97,0.000693
32,31.96,0.000715
33,32.96,0.000737
34,33.96,0.00076
35,34.96,0.000782
36,35.96,0.000804
37,36.96,0.000827
38,37.96,0.000849
39,38.96,0.000871
40,39.96,0.000893
41,40.95,0.000916
42,11.34,0.613
43,11.36,0.633
44,11.37,0.653
45,11.39,0.672
46,11.41,0.692
47,11.42,0.712
48,11.44,0.731
49,11.46,0.751
50,11.48,0.771
51,11.5,0.79
52,11.52,0.81
53,11.54,0.829
54,11.58,0.849
55,11.6,0.868
56,11.63,0.887
57,11.66,0.907
58,11.69,0.926
59,11.71,0.946
60,11.74,0.965
61,11.79,0.984
62,11.79,1.004
63,11.83,1.023
64,11.86,1.043
65,11.85,1.063
66,11.92,1.082
67,11.89,1.102
68,11.98,1.12
69,11.99,1.14
70,11.98,1.16
71,12.04,1.179
72,12.13,1.197
73,12.29,1.214
74,12.1,1.238
75,12.14,1.257
76,12.14,1.277
77,12.25,1.295
78,12.38,1.312
79,12.33,1.333
80,12.23,1.355
81,12.39,1.372
82,12.27,1.395
83,12.34,1.413
84,12.26,1.435
85,12.3,1.454
86,12.4,1.472
87,12.37,1.493
88,12.44,1.511
89,12.42,1.532
90,12.45,1.551
91,12.43,1.571
92,12.47,1.591
93,12.43,1.611
94,12.54,1.629
95,12.55,1.649
96,12.59,1.668
97,12.58,1.688
98,12.56,1.709
99,12.49,1.73
100,12.49,1.75
101,12.56,1.769
102,12.62,1.788
103,12.54,1.809
104,12.52,1.83
105,12.52,1.85
106,12.63,1.867
107,12.62,1.888
108,12.54,1.909
109,12.66,1.927
110,12.66,1.947
111,12.58,1.968
112,12.59,1.988
113,12.65,2.007
114,12.68,2.026
115,12.65,2.047
116,12.63,2.067
117,12.68,2.086
118,12.64,2.107
119,12.61,2.128
120,12.67,2.147
121,12.64,2.167
122,12.67,2.187
123,12.66,2.207
124,12.68,2.226
125,12.68,2.246
126,12.69,2.266
127,12.67,2.287
128,12.71,2.306
129,12.69,2.326
130,12.72,2.346
131,12.74,2.365
132,12.76,2.385
133,12.75,2.405
134,12.78,2.424
135,12.78,2.444
136,12.79,2.464
137,12.8,2.484
138,12.82,2.504
139,12.83,2.523
140,12.85,2.543
141,12.86,2.563
142,12.88,2.582
143,12.89,2.602
144,12.91,2.622
145,12.92,2.642
146,12.94,2.661
147,12.95,2.681
148,12.97,2.701
149,12.98,2.72
150,13.0,2.74
151,13.01,2.76
152,13.03,2.779
153,13.04,2.799
154,13.06,2.819
155,13.07,2.839
156,13.09,2.858
157,13.1,2.878
158,13.12,2.898
159,13.13,2.917
160,13.15,2.937
161,13.16,2.957
162,13.18,2.976
163,13.19,2.996
164,13.21,3.016
165,13.22,3.036
166,13.24,3.055
