TLP,vout_max,TLP,Vpeak [V]
1,0.989,0.5,0.564149644
2,1.869,1,1.093346991
3,2.735,1.5,1.637792672
4,3.601,2,2.224104963
5,4.466,2.5,2.680095917
6,5.331,3,3.227628064
7,6.195,3.5,3.742766159
8,7.059,4,4.374129767
9,7.923,4.5,4.938694786
10,8.788,5,5.433343354
11,9.651,5.3,5.727914338
12,10.52,5.6,6.057991114
13,11.38,5.9,6.391854662
14,12.25,6.2,6.734972821
15,13.11,6.5,6.987428161
16,13.97,6.8,7.418174127
17,14.84,7.1,7.506851646
18,15.7,7.4,7.927661086
19,16.57,7.7,8.188073727
20,17.43,8,8.380600903
21,18.3,8.3,8.770241636
22,19.16,8.6,8.98518941
23,20.03,8.9,9.295085922
24,20.89,9.2,9.566609625
25,21.76,9.5,9.81780296
26,22.62,9.8,10.29504432
27,23.49,10.1,10.50580582
28,24.35,10.4,10.77051956
29,25.21,10.7,10.99833994
30,26.07,11,11.44071149
31,26.93,11.3,11.71439598
32,27.8,11.6,12.09312951
33,28.66,11.9,12.28083502
34,29.53,12.2,12.74956051
35,30.39,12.5,13.120347
36,31.26,12.8,13.39847997
37,32.12,13.1,13.59588243
38,32.98,13.4,13.91092634
39,33.85,13.7,14.13570759
40,34.71,14,14.83089489
41,35.58,14.3,15.06748707
42,36.44,14.6,15.55944466
43,37.3,14.9,15.67925845
44,38.17,15.2,15.93451169
45,39.03,15.5,16.07187812
46,39.9,15.8,16.37990337
47,40.76,16.1,16.94317149
48,41.62,16.4,16.92270275
49,42.49,16.7,17.07967959
50,43.35,17,17.45536065
51,44.21,17.3,17.80829016
52,45.08,17.6,18.08177481
53,45.94,17.9,18.68174474
54,46.81,18.2,18.67655769
55,47.67,18.5,18.94991331
56,48.49,18.8,19.18098381
57,48.65,19.1,19.65510537
58,48.72,19.4,20.02965581
59,48.97,19.7,20.22926659
60,48.86,20,20.40802426
61,48.98,20.3,21.13210529
62,49.04,20.6,21.11178565
63,49.1,20.9,21.25904665
64,49.17,21.2,22.04223408
65,49.24,21.5,22.13139252
66,49.33,21.8,22.06177703
67,49.48,22.1,22.94837403
68,49.63,22.4,23.06772059
69,49.77,22.7,23.3903619
70,49.92,23,23.48040663
71,50.07,23.3,24.04645321
72,50.21,23.6,24.12016268
73,50.36,23.9,24.34449851
74,50.5,24.2,24.86499914
75,50.65,24.5,25.24843401
76,50.8,24.8,25.54875243
77,50.95,25.1,25.63340798
78,51.09,25.4,26.07785549
79,51.24,25.7,26.33811748
80,51.39,26,26.75897183
81,51.44,26.3,26.83994955
82,51.47,26.6,27.31241315
83,51.51,26.9,27.81737133
84,51.55,27.2,27.83670798
85,51.58,27.5,28.15928365
86,51.62,27.8,28.74942825
87,51.66,28.1,28.93825335
88,51.69,28.4,29.31240744
89,51.73,28.7,30.05041032
90,51.62,29,29.93244686
91,51.63,29.3,30.16323439
92,51.71,29.6,30.71624738
93,51.8,29.9,30.90713675
94,51.88,30.2,31.097187
95,51.97,30.5,31.77467005
96,52.06,30.8,31.75453094
97,52.16,31.1,32.10826688
98,52.25,31.4,32.51005202
99,52.35,31.7,32.51439384
100,52.44,32,32.74391285
101,52.54,32.3,33.02365621
102,52.64,32.6,33.46007931
103,52.74,32.9,33.87270769
104,52.84,33.2,33.98699224
105,52.94,33.5,34.62125997
106,53.04,33.8,34.39214775
107,53.14,34.1,35.83177612
108,53.24,34.4,36.32514769
109,53.34,34.7,36.1149852
110,53.44,35,36.69404029
111,53.54,35.3,37.01714667
112,53.64,35.6,37.25039361
113,53.74,35.9,37.69956625
114,53.85,36.2,37.6534351
115,53.93,36.5,38.25770851
116,54.01,36.8,38.30123363
117,54.08,37.1,38.56790992
118,54.15,37.4,39.02176005
119,54.21,37.7,39.25974266
120,54.27,38,39.70611643
121,54.33,38.3,40.02925798
122,54.39,38.6,39.41105803
123,54.32,38.9,40.47572421
124,54.3,39.2,40.66483872
125,54.36,39.5,40.82240355
126,54.41,39.8,41.83332095
127,54.47,40.1,41.57042381
128,54.53,40.4,42.09413349
129,54.59,40.7,42.49155459
130,54.65,41,41.986764
131,54.71,41.3,40.92936528
132,54.77,41.6,40.47782798
133,54.83,41.9,41.68269591
134,54.89,42.2,40.79080053
135,54.95,42.5,41.01047068
136,55.01,42.8,41.57756729
137,55.07,43.1,42.45878717
138,55.12,43.4,42.08177787
139,55.18,43.7,41.66896701
140,55.24,44,41.70237765
141,55.29,44.3,42.04719481
142,55.34,44.6,43.48524368
143,55.4,44.9,42.88607592
144,55.45,45.2,43.38378484
145,55.51,45.5,42.79282825
146,55.56,45.8,44.62637152
147,55.62,46.1,43.87537776
148,55.67,46.4,44.16313742
149,55.73,46.7,44.29478586
150,55.79,47,44.96055132
151,55.84,47.3,44.6633059
152,55.9,47.6,46.32346667
153,55.96,47.9,44.98328506
154,56.02,48.2,46.22895464
155,56.07,48.5,46.13598286
156,56.13,48.8,46.30226539
157,56.19,49.1,46.28437935
158,56.25,49.4,46.1918556
159,56.3,49.7,46.96088662
160,56.36,50,47.29810866
161,56.42,50.3,47.22003933
162,56.48,50.6,47.14684117
163,56.54,50.9,48.20826001
164,56.62,51.2,48.46530472
165,56.7,51.5,48.72584301
166,56.79,51.8,47.60547706
167,56.88,52.1,48.51322985
168,57.32,52.4,47.85768402
169,57.05,52.7,48.32975682
170,57.14,53,47.6652747
171,57.22,53.3,49.57513543
172,57.31,53.6,49.1681626
173,57.4,53.9,48.47762328
174,57.49,54.2,49.50007815
175,57.57,54.5,50.46266314
176,57.66,54.8,48.77301637
177,57.75,55.1,48.58683501
178,57.83,55.4,50.63833581
179,57.92,55.7,49.02433538
180,58.01,56,49.2649808
181,58.1,56.3,50.87336873
182,58.18,56.6,50.00061061
183,58.27,56.9,50.24636412
184,58.36,57.2,49.65657917
185,58.44,57.5,51.21263358
