TLP,Vwindow [V],Iwindow [A],Vpeak [V],Turn-on Time [s],Leakage 1 V [A]
0.5,0.510814789,0.000870858,0.564149644,5.30E-09,1.94E-11
1,1.035315703,3.78E-05,1.093346991,5.45E-09,1.91E-11
1.5,1.557414081,0.000652261,1.637792672,5.45E-09,1.26E-11
2,2.076713185,0.000638334,2.224104963,5.55E-09,1.10E-11
2.5,2.583714312,0.002943531,2.680095917,5.55E-09,-3.64E-12
3,3.118756453,-7.91E-05,3.227628064,5.60E-09,1.01E-11
3.5,3.602782098,0.000417314,3.742766159,5.60E-09,1.52E-11
4,4.244971105,0.001625781,4.374129767,5.55E-09,9.55E-12
4.5,4.776125768,-0.000322532,4.938694786,5.60E-09,1.00E-11
5,5.278123605,-0.000255199,5.433343354,5.55E-09,2.11E-11
5.3,5.575529831,-0.001327158,5.727914338,5.55E-09,-3.14E-12
5.6,5.914580467,0.001031229,6.057991114,5.55E-09,2.00E-11
5.9,6.219553868,-0.000129379,6.391854662,5.55E-09,1.26E-10
6.2,6.519721847,0.001878633,6.734972821,5.55E-09,1.65E-11
6.5,6.82353899,-0.001289079,6.987428161,5.55E-09,5.74E-12
6.8,7.195988517,-0.000181888,7.418174127,5.60E-09,3.97E-11
7.1,7.298020911,-0.000372254,7.506851646,5.55E-09,1.69E-11
7.4,7.560992006,0.000580045,7.927661086,5.55E-09,-6.32E-12
7.7,7.900651188,0.000130966,8.188073727,5.55E-09,2.10E-13
8,8.16002416,0.000325685,8.380600903,5.50E-09,-5.90E-12
8.3,8.510610029,-0.000247298,8.770241636,5.55E-09,1.46E-11
8.6,8.743032904,0.000740038,8.98518941,5.55E-09,8.67E-12
8.9,9.077431223,0.002086755,9.295085922,5.55E-09,3.94E-12
9.2,9.377329933,0.000206856,9.566609625,5.55E-09,1.68E-13
9.5,9.649808556,0.000450939,9.81780296,5.50E-09,3.23E-12
9.8,9.961718172,0.000357566,10.29504432,5.50E-09,6.32E-12
10.1,10.22971325,-0.000874653,10.50580582,5.50E-09,-3.64E-12
10.4,10.52095544,-7.18E-05,10.77051956,5.50E-09,1.17E-12
10.7,10.82287248,-0.001111367,10.99833994,5.55E-09,3.69E-12
11,11.10876833,1.69E-05,11.44071149,5.50E-09,2.68E-12
11.3,11.45414549,-0.000922388,11.71439598,5.50E-09,5.40E-12
11.6,11.76376111,0.000412609,12.09312951,5.50E-09,-2.51E-13
11.9,12.09323008,0.00086557,12.28083502,5.45E-09,-3.52E-12
12.2,12.43549582,0.001203299,12.74956051,5.50E-09,3.73E-12
12.5,12.68732982,0.000367943,13.120347,5.50E-09,-6.37E-12
12.8,12.95706876,0.000974268,13.39847997,5.50E-09,-4.98E-12
13.1,13.19834163,-0.002165215,13.59588243,5.45E-09,-5.49E-12
13.4,13.483092,-0.000579208,13.91092634,5.45E-09,3.60E-12
13.7,13.69230437,-0.00056215,14.13570759,5.45E-09,4.86E-12
14,14.19259865,0.001272213,14.83089489,5.45E-09,-1.07E-11
14.3,14.37096351,3.30E-05,15.06748707,5.50E-09,2.76E-12
14.6,14.82468361,-0.00069635,15.55944466,5.45E-09,2.22E-12
14.9,15.06342726,0.00258785,15.67925845,5.40E-09,-1.00E-12
15.2,15.36611302,-2.46E-05,15.93451169,5.45E-09,1.89E-12
15.5,15.52905896,0.001373313,16.07187812,5.50E-09,4.98E-12
15.8,15.80158833,-0.000386549,16.37990337,5.50E-09,3.94E-12
16.1,16.06214693,-0.001798341,16.94317149,5.50E-09,2.64E-12
16.4,16.25624437,0.000912907,16.92270275,5.50E-09,1.97E-12
16.7,16.50331115,0.000856908,17.07967959,5.45E-09,-2.09E-13
17,16.7611374,-0.000306585,17.45536065,5.45E-09,1.52E-11
17.3,17.13306594,0.002009147,17.80829016,5.45E-09,-2.43E-12
17.6,17.42140938,-0.000396521,18.08177481,5.55E-09,6.28E-12
17.9,17.70003678,0.001528391,18.68174474,5.50E-09,9.88E-12
18.2,17.99145325,-0.000309718,18.67655769,5.50E-09,-8.92E-12
18.5,18.22731622,-0.001500661,18.94991331,5.45E-09,1.17E-12
18.8,18.59560546,0.001554091,19.18098381,5.50E-09,4.27E-12
19.1,18.96364886,0.000790015,19.65510537,5.50E-09,1.52E-11
19.4,19.294786,0.000486343,20.02965581,5.50E-09,4.61E-12
19.7,19.44732852,4.65E-05,20.22926659,5.45E-09,2.33E-11
20,19.70634128,-0.000766766,20.40802426,5.50E-09,7.87E-12
20.3,20.08878524,0.000421058,21.13210529,5.50E-09,2.27E-11
20.6,20.40674388,0.001365982,21.11178565,5.45E-09,1.33E-11
20.9,20.72701747,-0.000494456,21.25904665,5.45E-09,2.81E-12
21.2,21.02050244,-0.00062112,22.04223408,5.50E-09,2.63E-11
21.5,21.30423946,0.000837155,22.13139252,5.50E-09,3.62E-11
21.8,21.46331859,0.000354874,22.06177703,5.50E-09,4.69E-12
22.1,21.911601,0.00170112,22.94837403,5.45E-09,-5.11E-12
22.4,22.17775001,-0.000301446,23.06772059,5.45E-09,8.71E-12
22.7,22.49646681,-0.00056229,23.3903619,5.50E-09,3.77E-12
23,22.75688875,0.00096612,23.48040663,5.50E-09,7.54E-13
23.3,23.0697354,-0.000220544,24.04645321,5.50E-09,3.23E-12
23.6,23.37309238,-0.000606123,24.12016268,5.45E-09,5.74E-12
23.9,23.67926677,0.000249056,24.34449851,5.50E-09,1.97E-12
24.2,24.08236078,0.000801886,24.86499914,5.45E-09,-1.47E-12
24.5,24.32964686,0.00033287,25.24843401,5.50E-09,8.80E-13
