"time
References : ['vout','I_Probe1.i']
Dependency : [time]
Num. Points : [89]
Matrix Size : scalar
Type : Real","vout
References : []
Dependency : [time]
Num. Points : [89]
Matrix Size : scalar
Type : Real","I_Probe1.i
References : []
Dependency : [time]
Num. Points : [89]
Matrix Size : scalar
Type : Real","I_Probe1.i
References : []
Dependency : [time]
Num. Points : [89]
Matrix Size : scalar
Type : Real","vout
References : []
Dependency : [time]
Num. Points : [89]
Matrix Size : scalar
Type : Real","vout
References : []
Dependency : [time]
Num. Points : [89]
Matrix Size : scalar
Type : Real"
0.0000 sec,6.151E-192 V,-0.1229E-192 A,-0.1229E-192 A,6.151E-192 V,6.151E-192 V
10.00 psec,6.912  V,195.1 mA,195.1 mA,6.912  V,6.912  V
20.00 psec,14.08  V,385.0 mA,385.0 mA,14.08  V,14.08  V
37.77 psec,33.80  V,582.8 mA,582.8 mA,33.80  V,33.80  V
52.05 psec,55.04  V,634.4 mA,634.4 mA,55.04  V,55.04  V
61.68 psec,61.78  V,820.4 mA,820.4 mA,61.78  V,61.78  V
73.88 psec,61.38  V,1.235  A,1.235  A,61.38  V,61.38  V
87.83 psec,63.14  V,1.665  A,1.665  A,63.14  V,63.14  V
102.5 psec,64.52  V,2.127  A,2.127  A,64.52  V,64.52  V
123.3 psec,66.35  V,2.783  A,2.783  A,66.35  V,66.35  V
151.7 psec,69.21  V,3.671  A,3.671  A,69.21  V,69.21  V
193.2 psec,72.96  V,4.982  A,4.982  A,72.96  V,72.96  V
259.6 psec,79.41  V,7.065  A,7.065  A,79.41  V,79.41  V
300.0 psec,82.51  V,8.350  A,8.350  A,82.51  V,82.51  V
303.8 psec,80.31  V,8.394  A,8.394  A,80.31  V,80.31  V
315.1 psec,77.77  V,8.445  A,8.445  A,77.77  V,77.77  V
332.7 psec,78.30  V,8.434  A,8.434  A,78.30  V,78.30  V
349.8 psec,78.05  V,8.439  A,8.439  A,78.05  V,78.05  V
371.3 psec,78.03  V,8.439  A,8.439  A,78.03  V,78.03  V
409.2 psec,77.78  V,8.444  A,8.444  A,77.78  V,77.78  V
469.0 psec,77.42  V,8.452  A,8.452  A,77.42  V,77.42  V
580.9 psec,76.27  V,8.475  A,8.475  A,76.27  V,76.27  V
